module	timepoint	label	file	n_total	n_hit	pct
biomodal	late	dmr_beds:hmc_significant_hypo.bed	biomodal/downstream/modality/DMR_processed/CG/tss_region/bed/hmc_significant_hypo.bed	17	0	0
biomodal	late	dmr_beds:hmc_significant_q0.05.bed	biomodal/downstream/modality/DMR_processed/CG/tss_region/bed/hmc_significant_q0.05.bed	31	0	0
biomodal	late	dmr_beds:mc_significant_hyper.bed	biomodal/downstream/modality/DMR_processed/CG/tss_region/bed/mc_significant_hyper.bed	70	0	0
biomodal	late	dmr_beds:mc_significant_hypo.bed	biomodal/downstream/modality/DMR_processed/CG/tss_region/bed/mc_significant_hypo.bed	122	0	0
biomodal	late	dmr_beds:mc_significant_q0.05.bed	biomodal/downstream/modality/DMR_processed/CG/tss_region/bed/mc_significant_q0.05.bed	192	0	0
biomodal	late	dmr_beds:mc_significant_hyper.bed	biomodal/downstream/modality/DMR_processed/CHG/cpg_shelves/bed/mc_significant_hyper.bed	39	32	82.05
biomodal	late	dmr_beds:mc_significant_hypo.bed	biomodal/downstream/modality/DMR_processed/CHG/cpg_shelves/bed/mc_significant_hypo.bed	1	0	0
biomodal	late	dmr_beds:mc_significant_q0.05.bed	biomodal/downstream/modality/DMR_processed/CHG/cpg_shelves/bed/mc_significant_q0.05.bed	40	32	80
biomodal	late	dmr_beds:mc_significant_hyper.bed	biomodal/downstream/modality/DMR_processed/CHG/cpg_shores/bed/mc_significant_hyper.bed	18	12	66.67
biomodal	late	dmr_beds:mc_significant_q0.05.bed	biomodal/downstream/modality/DMR_processed/CHG/cpg_shores/bed/mc_significant_q0.05.bed	18	12	66.67
biomodal	late	dmr_beds:hmc_significant_hyper.bed	biomodal/downstream/modality/DMR_processed/CHG/genes/bed/hmc_significant_hyper.bed	56	33	58.93
biomodal	late	dmr_beds:hmc_significant_hypo.bed	biomodal/downstream/modality/DMR_processed/CHG/genes/bed/hmc_significant_hypo.bed	36	0	0
biomodal	late	dmr_beds:hmc_significant_q0.05.bed	biomodal/downstream/modality/DMR_processed/CHG/genes/bed/hmc_significant_q0.05.bed	92	33	35.87
biomodal	late	dmr_beds:mc_significant_hyper.bed	biomodal/downstream/modality/DMR_processed/CHG/genes/bed/mc_significant_hyper.bed	157	43	27.39
biomodal	late	dmr_beds:mc_significant_hypo.bed	biomodal/downstream/modality/DMR_processed/CHG/genes/bed/mc_significant_hypo.bed	163	0	0
biomodal	late	dmr_beds:mc_significant_q0.05.bed	biomodal/downstream/modality/DMR_processed/CHG/genes/bed/mc_significant_q0.05.bed	320	43	13.44
biomodal	late	dmr_beds:mc_significant_hyper.bed	biomodal/downstream/modality/DMR_processed/CHG/promoters/bed/mc_significant_hyper.bed	5	2	40
biomodal	late	dmr_beds:mc_significant_q0.05.bed	biomodal/downstream/modality/DMR_processed/CHG/promoters/bed/mc_significant_q0.05.bed	5	2	40
biomodal	late	dmr_beds:mc_significant_hyper.bed	biomodal/downstream/modality/DMR_processed/CHH/cpg_shelves/bed/mc_significant_hyper.bed	39	32	82.05
biomodal	late	dmr_beds:mc_significant_hypo.bed	biomodal/downstream/modality/DMR_processed/CHH/cpg_shelves/bed/mc_significant_hypo.bed	1	0	0
biomodal	late	dmr_beds:mc_significant_q0.05.bed	biomodal/downstream/modality/DMR_processed/CHH/cpg_shelves/bed/mc_significant_q0.05.bed	40	32	80
biomodal	late	dmr_beds:mc_significant_hyper.bed	biomodal/downstream/modality/DMR_processed/CHH/cpg_shores/bed/mc_significant_hyper.bed	18	12	66.67
biomodal	late	dmr_beds:mc_significant_q0.05.bed	biomodal/downstream/modality/DMR_processed/CHH/cpg_shores/bed/mc_significant_q0.05.bed	18	12	66.67
biomodal	late	dmr_beds:hmc_significant_hyper.bed	biomodal/downstream/modality/DMR_processed/CHH/genes/bed/hmc_significant_hyper.bed	56	33	58.93
biomodal	late	dmr_beds:hmc_significant_hypo.bed	biomodal/downstream/modality/DMR_processed/CHH/genes/bed/hmc_significant_hypo.bed	36	0	0
biomodal	late	dmr_beds:hmc_significant_q0.05.bed	biomodal/downstream/modality/DMR_processed/CHH/genes/bed/hmc_significant_q0.05.bed	92	33	35.87
biomodal	late	dmr_beds:mc_significant_hyper.bed	biomodal/downstream/modality/DMR_processed/CHH/genes/bed/mc_significant_hyper.bed	157	43	27.39
biomodal	late	dmr_beds:mc_significant_hypo.bed	biomodal/downstream/modality/DMR_processed/CHH/genes/bed/mc_significant_hypo.bed	163	0	0
biomodal	late	dmr_beds:mc_significant_q0.05.bed	biomodal/downstream/modality/DMR_processed/CHH/genes/bed/mc_significant_q0.05.bed	320	43	13.44
biomodal	late	dmr_beds:mc_significant_hyper.bed	biomodal/downstream/modality/DMR_processed/CHH/promoters/bed/mc_significant_hyper.bed	5	2	40
biomodal	late	dmr_beds:mc_significant_q0.05.bed	biomodal/downstream/modality/DMR_processed/CHH/promoters/bed/mc_significant_q0.05.bed	5	2	40
