gene_symbol	gene_class	feature_label	n_features	min_distance	median_distance
Lactb2	invariant	ChromHMM_ActiveEnhancer	20	328346	404046
Lactb2	invariant	K27ac_ChIP	5	382565.5	463891
Lag3	invariant	ChromHMM_ActiveEnhancer	44	11605	1240895
Lag3	invariant	ENCODE	1	1678564.5	1678564.5
Lag3	invariant	K27ac_ChIP	38	4206	299922.25
Lag3	invariant	P60	5	54823	175133
Lage3	invariant	ChromHMM_ActiveEnhancer	10	22918	705418
Lage3	invariant	K27ac_ChIP	26	14500.5	615266.5
Lage3	invariant	P60	1	833374.5	833374.5
Lama1	invariant	ChromHMM_ActiveEnhancer	72	187259	1467809
Lama1	invariant	K27ac_ChIP	30	1177696	1390187
Lama1	invariant	P60	2	1311482.5	1382740.75
Lama2	invariant	ChromHMM_ActiveEnhancer	14	595642	1554542
Lama2	invariant	K27ac_ChIP	4	872841	1610216.25
Lama3	invariant	ChromHMM_ActiveEnhancer	118	46581	520281
Lama3	invariant	K27ac_ChIP	48	56537	1396079.75
Lama3	invariant	P60	3	1383138.5	1459327
Lama5	DEG_up	ChromHMM_ActiveEnhancer	74	10559	1211041
Lama5	DEG_up	K27ac_ChIP	59	76945.5	906835
Lama5	DEG_up	P60	5	595539.5	914278
Lamb1	invariant	ChromHMM_ActiveEnhancer	90	51134	1505300
Lamb1	invariant	K27ac_ChIP	36	85922	1370109.25
Lamb1	invariant	P60	3	643284.5	1388204
Lamb3	DEG_down	ChromHMM_ActiveEnhancer	150	13025	911725
Lamb3	DEG_down	K27ac_ChIP	42	64906	856621.75
Lamb3	DEG_down	P60	3	122191	757586.5
Lamc1	invariant	ChromHMM_ActiveEnhancer	139	24386	1296586
Lamc1	invariant	K27ac_ChIP	64	159.5	1204632.75
Lamc1	invariant	P60	6	320247	1278098
Lamp1	invariant	ChromHMM_ActiveEnhancer	60	130461	519239
Lamp1	invariant	K27ac_ChIP	52	128343	483994.25
Lamp1	invariant	P60	5	173273.5	486686
Lancl1	invariant	ChromHMM_ActiveEnhancer	53	45672	851972
Lancl1	invariant	K27ac_ChIP	17	13	716798.5
Lancl2	invariant	ChromHMM_ActiveEnhancer	65	62760	1530260
Lancl2	invariant	K27ac_ChIP	21	219	1204425.5
Lancl3	DEG_down	ChromHMM_ActiveEnhancer	9	43798	1069298
Lancl3	DEG_down	K27ac_ChIP	21	2233	1076272.5
Laptm4a	invariant	ChromHMM_ActiveEnhancer	29	5164	194564
Laptm4a	invariant	K27ac_ChIP	9	693.5	139085.5
Laptm4b	invariant	ChromHMM_ActiveEnhancer	63	84528	1562372
Laptm4b	invariant	K27ac_ChIP	20	155237	1275933
Large1	invariant	ChromHMM_ActiveEnhancer	49	2560	1567860
Large1	invariant	K27ac_ChIP	24	125	1681511.25
Large1	invariant	P60	1	1684082	1684082
Larp1b	invariant	ChromHMM_ActiveEnhancer	20	72372	623372
Larp1b	invariant	K27ac_ChIP	12	399	429840.25
Larp4	invariant	ChromHMM_ActiveEnhancer	45	75835	979635
Larp4	invariant	K27ac_ChIP	49	70406.5	718132
Larp4	invariant	P60	8	115278	412325
Larp4b	invariant	ChromHMM_ActiveEnhancer	39	29581	329119
Larp4b	invariant	K27ac_ChIP	8	11845.5	408208.5
Larp7	DEG_up	ChromHMM_ActiveEnhancer	49	189449	852649
Larp7	DEG_up	K27ac_ChIP	34	54436	441459.75
Larp7	DEG_up	P60	2	361710.5	638600.5
Lars1	invariant	ChromHMM_ActiveEnhancer	32	317006	1327556
Lars1	invariant	K27ac_ChIP	9	250242	1329972.5
Las1l	invariant	ChromHMM_ActiveEnhancer	12	21262	945962
Las1l	invariant	K27ac_ChIP	14	10973	808782.25
Lat2	DEG_up	ChromHMM_ActiveEnhancer	28	83925	633125
Lat2	DEG_up	K27ac_ChIP	19	63612	724726.5
Lat2	DEG_up	P60	4	564853	942853
Lats1	invariant	ChromHMM_ActiveEnhancer	79	26986	609486
Lats1	invariant	K27ac_ChIP	29	143.5	554153
Lats1	invariant	P60	3	408244.5	522625.5
Lats2	DEG_down	ChromHMM_ActiveEnhancer	55	18188	524612
Lats2	DEG_down	K27ac_ChIP	26	34021	346959
Lats2	DEG_down	P60	2	334254	1105910
Layn	DEG_down	ChromHMM_ActiveEnhancer	14	103706	1151944
Layn	DEG_down	K27ac_ChIP	21	68941	688483
Layn	DEG_down	P60	1	348902.5	348902.5
Lbh	invariant	ChromHMM_ActiveEnhancer	26	195095	919295
Lbh	invariant	K27ac_ChIP	13	23	914089
Lbr	invariant	ChromHMM_ActiveEnhancer	53	10046	1244646
Lbr	invariant	K27ac_ChIP	36	843	1156604
Lbr	invariant	P60	1	1333742	1333742
Lca5	DEG_down	ChromHMM_ActiveEnhancer	21	6327	135473
Lca5	DEG_down	K27ac_ChIP	12	6708	414049.25
Lca5l	DEG_down	ChromHMM_ActiveEnhancer	71	4571	1223271
Lca5l	DEG_down	K27ac_ChIP	26	8684.5	1304891.25
Lca5l	DEG_down	P60	1	1890000.5	1890000.5
Lclat1	invariant	ChromHMM_ActiveEnhancer	25	5415	729915
Lclat1	invariant	K27ac_ChIP	11	15.5	719878.5
Lcor	invariant	ChromHMM_ActiveEnhancer	39	360463	1004237
Lcor	invariant	K27ac_ChIP	26	347589.5	1007357.75
Lcor	invariant	P60	2	780993	1379847.5
Ldaf1	DEG_down	ChromHMM_ActiveEnhancer	31	744047	1323453
Ldaf1	DEG_down	K27ac_ChIP	15	206595.5	1804900
Ldaf1	DEG_down	P60	3	752221	1835682.5
Ldb1	DEG_up	ChromHMM_ActiveEnhancer	26	142714	753400
Ldb1	DEG_up	ENCODE	1	1165448	1165448
Ldb1	DEG_up	K27ac_ChIP	32	1134	1027984.5
Ldb1	DEG_up	P60	6	276846.5	1111939.75
Ldb2	DEG_down	ChromHMM_ActiveEnhancer	68	77520	739120
Ldb2	DEG_down	K27ac_ChIP	30	559169	928641.75
Ldb2	DEG_down	P60	1	1547524.5	1547524.5
Ldha	invariant	ChromHMM_ActiveEnhancer	7	199375	287375
Ldha	invariant	ENCODE	1	294307	294307
Ldha	invariant	K27ac_ChIP	56	2250	677185.75
Ldha	invariant	P60	6	122423	919389
Ldhc	invariant	ChromHMM_ActiveEnhancer	7	219103	307103
Ldhc	invariant	ENCODE	1	314035	314035
Ldhc	invariant	K27ac_ChIP	54	21978	579505.75
Ldhc	invariant	P60	6	142151	939117
Ldhd	invariant	ChromHMM_ActiveEnhancer	77	6174	924674
Ldhd	invariant	K27ac_ChIP	46	801.5	827467.5
Ldhd	invariant	P60	5	95227.5	743087.5
Ldlr	invariant	ChromHMM_ActiveEnhancer	23	13817	334617
Ldlr	invariant	K27ac_ChIP	28	25638.5	330426
Ldlr	invariant	P60	3	42013	316084.5
Ldlrad3	DEG_down	ChromHMM_ActiveEnhancer	117	715	178385
Ldlrad3	DEG_down	K27ac_ChIP	40	723.5	224318
Ldlrad3	DEG_down	P60	3	72872	134256.5
Ldlrad4	DEG_down	ChromHMM_ActiveEnhancer	85	16843	587757
Ldlrad4	DEG_down	K27ac_ChIP	60	1124	1473591.5
Ldlrad4	DEG_down	P60	3	87155.5	1486151
Ldlrap1	DEG_down	ChromHMM_ActiveEnhancer	24	3724	1529324
Ldlrap1	DEG_down	K27ac_ChIP	51	500	1039114.5
Ldlrap1	DEG_down	P60	6	5829.5	575498.75
Ldoc1	DEG_down	ChromHMM_ActiveEnhancer	24	1703	454553
Ldoc1	DEG_down	K27ac_ChIP	7	1413.5	273498.5
Leap2	invariant	ChromHMM_ActiveEnhancer	28	43530	1554900
Leap2	invariant	K27ac_ChIP	38	8081.5	1039027
Leap2	invariant	P60	4	102423	741499.25
Lef1	invariant	ChromHMM_ActiveEnhancer	29	173729	1496271
Lef1	invariant	K27ac_ChIP	11	192529.5	1050611.5
Lekr1	DEG_down	ChromHMM_ActiveEnhancer	49	131328	384028
Lekr1	DEG_down	K27ac_ChIP	20	489	355319.5
Lemd1	DEG_down	ChromHMM_ActiveEnhancer	99	11669	741069
Lemd1	DEG_down	K27ac_ChIP	53	10181.5	708589.5
Lemd1	DEG_down	P60	8	185835.5	796059.25
Lemd2	invariant	ChromHMM_ActiveEnhancer	31	42031	742931
Lemd2	invariant	ENCODE	1	269487	269487
Lemd2	invariant	K27ac_ChIP	65	83295	608408.5
Lemd2	invariant	P60	7	270703	688830.5
Lemd3	invariant	ChromHMM_ActiveEnhancer	52	27232	1803018
Lemd3	invariant	K27ac_ChIP	28	434	1720042.5
Lemd3	invariant	P60	2	1834156.5	1879381
Leng8	invariant	ChromHMM_ActiveEnhancer	3	419961	474661
Leng8	invariant	K27ac_ChIP	14	12834.5	625220.75
Leo1	invariant	ChromHMM_ActiveEnhancer	13	24124	140624
Leo1	invariant	K27ac_ChIP	26	10420	291912.5
Leo1	invariant	P60	3	22140.5	128097.5
Lepr	invariant	ChromHMM_ActiveEnhancer	96	132204	1311804
Lepr	invariant	K27ac_ChIP	41	69629.5	873097
Lepr	invariant	P60	2	277995.5	330108
Leprot	invariant	ChromHMM_ActiveEnhancer	97	62518	1243418
Leprot	invariant	K27ac_ChIP	41	56.5	942783
Leprot	invariant	P60	2	208309.5	330108
Leprotl1	invariant	ChromHMM_ActiveEnhancer	69	49833	1482767
Leprotl1	invariant	K27ac_ChIP	28	814.5	1118500
Leprotl1	invariant	P60	2	1794764.5	1874347.25
Letmd1	invariant	ChromHMM_ActiveEnhancer	45	20777	800123
Letmd1	invariant	K27ac_ChIP	49	25602.5	871901
Letmd1	invariant	P60	8	275987	809441.25
Lfng	invariant	ChromHMM_ActiveEnhancer	28	32480	1332070
Lfng	invariant	K27ac_ChIP	23	40719	1457862
Lfng	invariant	P60	4	1030825	1374463.75
Lgals3	invariant	ChromHMM_ActiveEnhancer	53	47151	837349
Lgals3	invariant	K27ac_ChIP	25	46975.5	773793.5
Lgals8	invariant	ChromHMM_ActiveEnhancer	65	11844	512044
Lgals8	invariant	K27ac_ChIP	27	3490	515477
Lgals8	invariant	P60	1	410315	410315
Lgi1	DEG_down	ChromHMM_ActiveEnhancer	25	4764	949136
Lgi1	DEG_down	K27ac_ChIP	15	1275.5	1186113.5
Lgi2	DEG_up	ChromHMM_ActiveEnhancer	64	37162	602988
Lgi2	DEG_up	K27ac_ChIP	23	37187	608607.5
Lgi2	DEG_up	P60	1	600724	600724
Lgi4	invariant	ChromHMM_ActiveEnhancer	7	49658	1600042
Lgi4	invariant	K27ac_ChIP	23	7271	750760.5
Lgi4	invariant	P60	5	60310	768830.5
Lgr4	DEG_down	ChromHMM_ActiveEnhancer	84	247	236897
Lgr4	DEG_down	K27ac_ChIP	18	1912.5	317053.25
Lgr5	DEG_up	ChromHMM_ActiveEnhancer	84	24480	791100
Lgr5	DEG_up	K27ac_ChIP	31	777.5	793525.5
Lgr5	DEG_up	P60	4	572110.5	922504.5
Lhfpl2	DEG_down	ChromHMM_ActiveEnhancer	83	82704	658096
Lhfpl2	DEG_down	K27ac_ChIP	23	118239	918992
Lhfpl4	invariant	ChromHMM_ActiveEnhancer	69	33084	763516
Lhfpl4	invariant	K27ac_ChIP	50	1154	401481.25
Lhfpl4	invariant	P60	4	262419	502354.25
Lhfpl6	invariant	ChromHMM_ActiveEnhancer	81	14472	953028
Lhfpl6	invariant	K27ac_ChIP	46	1727.5	673865
Lhfpl6	invariant	P60	4	15961	527510.5
Lhx1os	invariant	ChromHMM_ActiveEnhancer	15	182240	1059360
Lhx1os	invariant	K27ac_ChIP	17	1529	471912.5
Lhx1os	invariant	P60	2	1069.5	220072.75
Lhx4	invariant	ChromHMM_ActiveEnhancer	81	38616	901184
Lhx4	invariant	K27ac_ChIP	23	103521	751782
Lhx4	invariant	P60	2	533669.5	710148
Lias	invariant	ChromHMM_ActiveEnhancer	85	24403	1215203
Lias	invariant	K27ac_ChIP	25	43908	1230996.5
Lig1	DEG_up	ChromHMM_ActiveEnhancer	2	497983	500233
Lig1	DEG_up	K27ac_ChIP	12	233074.5	329965
Lig3	invariant	ChromHMM_ActiveEnhancer	21	96908	1232192
Lig3	invariant	K27ac_ChIP	10	109237.5	1342677
Lig3	invariant	P60	1	1743482.5	1743482.5
Lig4	DEG_down	ChromHMM_ActiveEnhancer	54	196914	632486
Lig4	DEG_down	K27ac_ChIP	26	1194.5	1404000.25
Lig4	DEG_down	P60	1	1814335.5	1814335.5
Limk1	DEG_up	ChromHMM_ActiveEnhancer	28	157498	706698
Limk1	DEG_up	K27ac_ChIP	19	137185	798299.5
Limk1	DEG_up	P60	4	491280	942853
Limk2	invariant	ChromHMM_ActiveEnhancer	20	40289	1616511
Limk2	invariant	K27ac_ChIP	28	38693	316044.5
Limk2	invariant	P60	2	337674.5	388154
Lims2	invariant	ChromHMM_ActiveEnhancer	73	115390	1137410
Lims2	invariant	K27ac_ChIP	47	11904	1107783
