gene_id	enriched_in	symbol
66510	Control	Rnf181
68364	Control	0610030E20Rik
100038714	Control	Gm15401
21415	Control	Tcf7l1
75914	Control	Exoc6b
13656	Control	Egr4
330369	Control	Fbxo41
72012	Control	1600020E01Rik
113845	Control	Vmn1r48
113846	Control	Vmn1r47
101401	Control	Adamts9
14924	Control	Magi1
16206	Control	Lrig1
55983	Control	Pdzrn3
18488	Control	Cntn3
53870	Control	Cntn6
269784	Control	Cntn4
108073	Control	Grm7
20965	Control	Syn2
381806	Control	Gm10319
17835	Control	Mug-ps1
93671	Control	Cd163
14792	Control	Lpcat3
13498	Control	Atn1
13807	Control	Eno2
16977	Control	Lrrc23
243634	Control	Ano2
16494	Control	Kcna6
232386	Control	Gm38404
387341	Control	Tas2r106
387342	Control	Tas2r107
630845	Control	Tas2r122
14917	Control	Gucy2c
18705	Control	Pik3c2g
12035	Control	Bcat1
67533	Control	Ppfibp1
232791	Control	Cnot3
353499	Control	Tmc4
69757	Control	Leng1
77582	Control	Mboat7
18725	Control	Pira2
67425	Control	Eps8l1
77891	Control	Ube2s
12727	Control	Clcn4
22306	Control	Vmn2r30
22311	Control	Vmn2r32
625353	Control	Vmn2r35
100042891	Control	Vmn2r47
100042848	Control	Vmn2r41
72716	Control	Gm45351
100042781	Control	Vmn2r40
22305	Control	Vmn2r37
245109	Control	Zscan4c
100417675	Control	Nlrp5-ps
246791	Control	Obox3
71468	Control	Obox1
243864	Control	Mill2
21946	Control	Pglyrp1
667067	Control	Vmn1r91
100042966	Control	Vmn1r-ps79
100042968	Control	Vmn1r101
100043037	Control	Vmn1r250
100043058	Control	Gm10665
100043061	Control	Vmn1r256
100043536	Control	Vmn1r100
100043566	Control	Gm10668
101055864	Control	Gm4513
667464	Control	Vmn1r142
667469	Control	Vmn1r143
667472	Control	Vmn1r251
667485	Control	Vmn1r254
667504	Control	Vmn1r152
667512	Control	Vmn1r255
673977	Control	Vmn1r107
667094	Control	Vmn1r252
654804	Control	4732471J01Rik
319482	Control	Fcgbpl1
386655	Control	Eid2
108167416	Control	1700020L13Rik
233064	Control	Wdr62
11803	Control	Aplp1
243911	Control	Kirrel2
54631	Control	Nphs1
72244	Control	1600014C10Rik
546964	Control	Vmn2r62
16541	Control	Napsa
16504	Control	Kcnc3
17872	Control	Ppp1r15a
56734	Control	Tulp2
69217	Control	Plekha4
78286	Control	Nav2
52480	Control	Snhg14
64244	Control	Snord116l1
17984	Control	Ndn
17258	Control	Mef2a
75099	Control	Lysmd4
70461	Control	Crtc3
108071	Control	Grm5
109264	Control	Me3
23859	Control	Dlg2
27397	Control	Mrpl17
100042856	Control	Gvin2
100417829	Control	Gvin-ps2
233733	Control	Galnt18
12237	Control	Bub3
14183	Control	Fgfr2
77938	Control	Fam53b
244281	Control	Myo16
12826	Control	Col4a1
12827	Control	Col4a2
102334	Control	Ankrd10
102465714	Control	Mir7238
54126	Control	Arhgef7
259279	Control	Tubgcp3
102323	Control	Dcun1d2
66501	Control	1700029H14Rik
244310	Control	Dlgap2
94109	Control	Csmd1
547150	Control	6820431F20Rik
100041688	Control	Defa35
497114	Control	Defa23
100294660	Control	Defa2
382000	Control	Defa39
23954	Control	Nek3
14182	Control	Fgfr1
270035	Control	Letm2
71910	Control	Plpp5
72108	Control	Ddhd2
210801	Control	Unc5d
211323	Control	Nrg1
14782	Control	Gsr
244421	Control	Lonrf1
384806	Control	Adam20
14300	Control	Frg1
53318	Control	Pdlim3
69260	Control	Ing2
23965	Control	Tenm3
22341	Control	Vegfc
110304	Control	Glra3
108150	Control	Galnt7
270049	Control	Galntl6
72925	Control	Marchf1
17962	Control	Nat3
234353	Control	Psd3
110877	Control	Slc18a1
70807	Control	Arrdc2
84036	Control	Kcnn1
69419	Control	1700026F02Rik
71831	Control	Iqcm
67357	Control	1700092C02Rik
74841	Control	Usp38
234515	Control	Inpp4b
244548	Control	Elmod2
67555	Control	Mgat4d
14339	Control	Aktip
26383	Control	Fto
234624	Control	A330008L17Rik
67971	Control	Tppp3
70796	Control	Zdhhc1
319446	Control	Dpep2
71854	Control	Dpep3
20650	Control	Sntb2
66894	Control	Wwp2
20340	Control	Glg1
338521	Control	Fa2h
319481	Control	Wdr59
12554	Control	Cdh13
