Distance from Center (cmd=annotatePeaks.pl /expanse/lustre/projects/csd940/ctea/homer/homer_scripts/reference_peaks/H3K27me3.bed mm10 -size 500000 -hist 1000 -bedGraph /expanse/lustre/projects/csd940/ctea/homer/bwt2_bam/tags/ctrl_M3/tagdirs/tagdirs.25x50kb.PC1.bedGraph /expanse/lustre/projects/csd940/ctea/homer/bwt2_bam/tags/mut_M3/tagdirs/tagdirs.25x50kb.PC1.bedGraph)	/expanse/lustre/projects/csd940/ctea/homer/bwt2_bam/tags/ctrl_M3/tagdirs/tagdirs.25x50kb.PC1.bedGraph Coverage	/expanse/lustre/projects/csd940/ctea/homer/bwt2_bam/tags/ctrl_M3/tagdirs/tagdirs.25x50kb.PC1.bedGraph + Tags	/expanse/lustre/projects/csd940/ctea/homer/bwt2_bam/tags/ctrl_M3/tagdirs/tagdirs.25x50kb.PC1.bedGraph - Tags	/expanse/lustre/projects/csd940/ctea/homer/bwt2_bam/tags/mut_M3/tagdirs/tagdirs.25x50kb.PC1.bedGraph Coverage	/expanse/lustre/projects/csd940/ctea/homer/bwt2_bam/tags/mut_M3/tagdirs/tagdirs.25x50kb.PC1.bedGraph + Tags	/expanse/lustre/projects/csd940/ctea/homer/bwt2_bam/tags/mut_M3/tagdirs/tagdirs.25x50kb.PC1.bedGraph - Tags
-155000	0.241196723385413	1.10580681890063e-05	1.09231450439623e-05	0.331546777152255	1.49542665570245e-05	1.47135176165475e-05
-154000	0.240108925295718	8.56809412360048e-06	9.65589221329623e-06	0.330727117464735	1.19647036498197e-05	1.27843633373395e-05
-153000	0.239251502308811	8.18438863938263e-06	9.04181162628883e-06	0.330182870516794	1.22253146941616e-05	1.27695616421026e-05
-152000	0.237863558732368	9.22695932696565e-06	1.06149029034094e-05	0.328982921120881	1.32991334050225e-05	1.44990828009362e-05
-151000	0.237140489594535	8.31437788601429e-06	9.03744702384718e-06	0.328594155228035	1.24942121576317e-05	1.28829780504776e-05
-150000	0.237078499588842	7.92497944208994e-06	7.98696944778291e-06	0.328665317224366	1.18282623821874e-05	1.17571003858562e-05
-149000	0.235672971092416	1.19335821367576e-05	1.33391106331836e-05	0.327504839015751	1.56786640521222e-05	1.68391422607376e-05
-148000	0.235271680688216	7.33417673477133e-06	7.73546713897147e-06	0.327350876083244	1.05891580745145e-05	1.07431210070213e-05
-147000	0.234182870516794	1.0249984186223e-05	1.13387943576444e-05	0.32649750142324	1.39186539313049e-05	1.47720285913087e-05
-146000	0.233453033082421	6.35062306281232e-06	7.08046049718515e-06	0.326073692200645	1.03700423809222e-05	1.0793851603517e-05
-145000	0.233419697640584	1.05430451008919e-05	1.05763805427288e-05	0.326266999810235	1.40680624960466e-05	1.38747548864571e-05
-144000	0.233054019862104	7.95755582263267e-06	8.32323360111329e-06	0.326049402239231	1.18104876968815e-05	1.20280852678854e-05
-143000	0.232662407489405	1.11384021759757e-05	1.15300145486748e-05	0.325908280093618	1.50257448288949e-05	1.51668669745082e-05
-142000	0.231986147131381	8.49471819849453e-06	9.17097855651844e-06	0.32553690935543	1.22037447023847e-05	1.25751154405718e-05
-141000	0.231724713770637	9.46720222657979e-06	9.72863558732368e-06	0.325597317983427	1.31501043709279e-05	1.30896957429313e-05
-140000	0.230700044278575	9.48738060598393e-06	1.05120500980454e-05	0.324815611360617	1.28755772028591e-05	1.36572838256689e-05
-139000	0.230105256499462	7.84875703713075e-06	8.44354481624392e-06	0.324552912897716	1.25075589853881e-05	1.27702574482889e-05
-138000	0.229094819406667	8.45543677651971e-06	9.46587386931494e-06	0.3237655133152	1.29332658612183e-05	1.37206654437346e-05
-137000	0.228135998481877	9.42254412043773e-06	1.03813650452274e-05	0.323071225251439	1.26792333480929e-05	1.3373521411854e-05
-136000	0.227546840407363	9.97463470175217e-06	1.05637927762667e-05	0.322591814789044	1.38488835473464e-05	1.43282940097413e-05
-135000	0.226731482067177	6.88171294832058e-06	7.69707128850654e-06	0.322083876273009	1.14174837118097e-05	1.19254222278449e-05
-134000	0.2258887975204	9.70738187108608e-06	1.05500664178632e-05	0.321371497248403	1.37012461256246e-05	1.44136251502309e-05
-133000	0.22523594155228	9.36504522740212e-06	1.00179011955215e-05	0.321141944462015	1.29512935669555e-05	1.3180846353343e-05
-132000	0.224412929344045	7.03137453349357e-06	7.85438674172939e-06	0.320502814852299	1.15281801505472e-05	1.21673097602632e-05
-131000	0.223904231766715	8.98380669239041e-06	9.49250426971978e-06	0.320300271996964	1.2276994117275e-05	1.24795369726105e-05
-130000	0.223548548295275	1.07023847175659e-05	1.10580681890063e-05	0.320161869820988	1.48158643810488e-05	1.49542665570245e-05
-129000	0.222690619267506	7.71016509583149e-06	8.56809412360048e-06	0.319660699601493	1.14635334303245e-05	1.19647036498197e-05
-128000	0.221630084129293	7.12385350117022e-06	8.18438863938263e-06	0.318854892782592	1.14195078752609e-05	1.22253146941616e-05
-127000	0.220423239926624	8.02011512429629e-06	9.22695932696565e-06	0.317953950281485	1.23981909039155e-05	1.32991334050225e-05
-126000	0.219807514706813	7.6986526662028e-06	8.31437788601429e-06	0.317715731545322	1.22559934214688e-05	1.24942121576317e-05
-125000	0.219422038079575	7.5395028148523e-06	7.92497944208994e-06	0.317440698336391	1.15532291732557e-05	1.18282623821874e-05
-124000	0.218368714023657	1.088025808084e-05	1.19335821367576e-05	0.316615661964704	1.48536276804352e-05	1.56786640521222e-05
-123000	0.217568663419571	6.53412613068505e-06	7.33417673477133e-06	0.315903852236068	9.87734834587893e-06	1.05891580745145e-05
-122000	0.216852995129357	9.5343158960086e-06	1.0249984186223e-05	0.31555721424505	1.35720159402872e-05	1.39186539313049e-05
-121000	0.216359984818774	5.85761275222974e-06	6.35062306281232e-06	0.315422923651085	1.02357517869568e-05	1.03700423809222e-05
-120000	0.215774685305838	9.95774558795623e-06	1.05430451008919e-05	0.31506648111835	1.3711619963312e-05	1.40680624960466e-05
