Distance from Center (cmd=annotatePeaks.pl tss mm10 -size 1000000 -hist 1000 -bedGraph /expanse/lustre/projects/csd940/ctea/homer/bwt2_bam/tags/ctrl_M2/tagdirs/tagdirs.25x50kb.PC1.bedGraph /expanse/lustre/projects/csd940/ctea/homer/bwt2_bam/tags/mut_M2/tagdirs/tagdirs.25x50kb.PC1.bedGraph)	/expanse/lustre/projects/csd940/ctea/homer/bwt2_bam/tags/ctrl_M2/tagdirs/tagdirs.25x50kb.PC1.bedGraph Coverage	/expanse/lustre/projects/csd940/ctea/homer/bwt2_bam/tags/ctrl_M2/tagdirs/tagdirs.25x50kb.PC1.bedGraph + Tags	/expanse/lustre/projects/csd940/ctea/homer/bwt2_bam/tags/ctrl_M2/tagdirs/tagdirs.25x50kb.PC1.bedGraph - Tags	/expanse/lustre/projects/csd940/ctea/homer/bwt2_bam/tags/mut_M2/tagdirs/tagdirs.25x50kb.PC1.bedGraph Coverage	/expanse/lustre/projects/csd940/ctea/homer/bwt2_bam/tags/mut_M2/tagdirs/tagdirs.25x50kb.PC1.bedGraph + Tags	/expanse/lustre/projects/csd940/ctea/homer/bwt2_bam/tags/mut_M2/tagdirs/tagdirs.25x50kb.PC1.bedGraph - Tags
60000	0.625019547411973	2.61711770666216e-05	2.72510554758084e-05	0.60569036561682	2.53446128514734e-05	2.63364434687157e-05
61000	0.623765219961159	2.61261715781475e-05	2.73804990289622e-05	0.604482563539644	2.55973359790593e-05	2.68051380562357e-05
62000	0.622724267499789	2.24483872329645e-05	2.34893396943342e-05	0.603708160938951	2.1802562695263e-05	2.25769652959554e-05
63000	0.621329540656928	2.57892848095922e-05	2.71840116524529e-05	0.602373216245884	2.50038841509752e-05	2.63388288440429e-05
64000	0.620441188887951	2.67715950350418e-05	2.76599468040192e-05	0.601619522080554	2.59803259309297e-05	2.67340200962594e-05
65000	0.619381807818965	2.37528286751669e-05	2.48122097441527e-05	0.60076245461454	2.30226294013341e-05	2.38796968673478e-05
66000	0.618336633454361	2.34514058937769e-05	2.44965802583804e-05	0.599733914548679	2.26383517689775e-05	2.36668918348392e-05
67000	0.617222177657688	2.34315207295449e-05	2.4545976526218e-05	0.598723254243013	2.28584606940809e-05	2.38691209997467e-05
68000	0.615894515747699	2.46089462129528e-05	2.59366081229419e-05	0.597527991218441	2.39609262855695e-05	2.51561893101411e-05
69000	0.614864730220383	2.51729291564637e-05	2.62027146837794e-05	0.596509330406147	2.47703706831039e-05	2.57890314953982e-05
70000	0.613905070505784	2.33911382251119e-05	2.43507979397112e-05	0.595621569703622	2.2307776745757e-05	2.31955374482817e-05
71000	0.613056489065271	2.39156463733852e-05	2.47642278138985e-05	0.594726104027696	2.31763911171156e-05	2.40718567930423e-05
72000	0.611980431478511	2.30025120324243e-05	2.40785696191843e-05	0.593772228320527	2.25942750992147e-05	2.35481508063836e-05
73000	0.611152410706747	2.24853499957781e-05	2.3313370767542e-05	0.593052330490585	2.17734315629486e-05	2.24933293928903e-05
74000	0.610392826986406	2.16399138731741e-05	2.23994975935151e-05	0.592281622055223	2.10160010132568e-05	2.17867094486194e-05
75000	0.609427763235667	2.53199991556193e-05	2.62850629063582e-05	0.591383644346872	2.45870345351685e-05	2.54850122435194e-05
76000	0.608344823946635	2.21661741112894e-05	2.3249113400321e-05	0.590367052267162	2.14539601452335e-05	2.2470552224943e-05
77000	0.607537427172169	2.46368529933293e-05	2.54442497677953e-05	0.589748057924512	2.4067719327873e-05	2.46867136705227e-05
78000	0.606719876720426	2.50721523262687e-05	2.58897027780123e-05	0.588940618931014	2.42786667229586e-05	2.5086105716457e-05
79000	0.605673245799206	2.3733217934645e-05	2.47798488558642e-05	0.588059929916406	2.30792662332179e-05	2.39599552478258e-05
80000	0.604312315291733	2.3512919023896e-05	2.48738495313687e-05	0.586707485434434	2.28367812209744e-05	2.41892257029469e-05
81000	0.603237883137719	2.07958287596048e-05	2.18702609136199e-05	0.585522080553914	1.98276196909568e-05	2.10130245714768e-05
82000	0.602323313349658	2.52998184581609e-05	2.62143882462214e-05	0.584736722114329	2.47142404796082e-05	2.54995989191928e-05
83000	0.601652811787554	2.43338681077429e-05	2.50043696698472e-05	0.58407975175209	2.35499240057418e-05	2.42068943679811e-05
84000	0.600804589208815	2.37749514481128e-05	2.46231740268513e-05	0.583301042810099	2.30584944693068e-05	2.38372034112978e-05
85000	0.599815059528836	2.51816473866419e-05	2.61711770666216e-05	0.582543464493794	2.45870345351685e-05	2.53446128514734e-05
86000	0.599011124715021	2.53222367643333e-05	2.61261715781475e-05	0.58178086211264	2.4834733597906e-05	2.55973359790593e-05
87000	0.598146668918348	2.15839314362915e-05	2.24483872329645e-05	0.580805539137043	2.08272397196656e-05	2.1802562695263e-05
88000	0.597304019251879	2.49466351431225e-05	2.57892848095922e-05	0.580107890737144	2.43062357510766e-05	2.50038841509752e-05
89000	0.596422971375496	2.58905471586591e-05	2.67715950350418e-05	0.579322490078527	2.51949252723128e-05	2.59803259309297e-05
90000	0.595583509245968	2.29133665456388e-05	2.37528286751669e-05	0.57850677615469	2.22069154774973e-05	2.30226294013341e-05
91000	0.594517605336486	2.23855019842945e-05	2.34514058937769e-05	0.577512159081314	2.16437346956008e-05	2.26383517689775e-05
92000	0.593515452165836	2.24293675588956e-05	2.34315207295449e-05	0.576529806636832	2.18761082495989e-05	2.28584606940809e-05
93000	0.592231824706578	2.33253187536942e-05	2.46089462129528e-05	0.575596913788736	2.30280334374737e-05	2.39609262855695e-05
94000	0.591218715697036	2.41598201469223e-05	2.51729291564637e-05	0.574533141940387	2.37065988347547e-05	2.47703706831039e-05
95000	0.590421979228236	2.25944017563117e-05	2.33911382251119e-05	0.57387847251541	2.16531073207803e-05	2.2307776745757e-05
96000	0.589909081313856	2.34027484590054e-05	2.39156463733852e-05	0.573505805116947	2.28037237186524e-05	2.31763911171156e-05
97000	0.58908443806468	2.21778687832475e-05	2.30025120324243e-05	0.572712995018154	2.18014650004222e-05	2.25942750992147e-05
98000	0.588294984378958	2.16958963100566e-05	2.24853499957781e-05	0.572182027357933	2.12424639027273e-05	2.17734315629486e-05
99000	0.587861711559571	2.1206641053787e-05	2.16399138731741e-05	0.57170497340201	2.05389470573334e-05	2.10160010132568e-05
100000	0.587377839229925	2.48361268259731e-05	2.53199991556193e-05	0.571177425483408	2.40594866165668e-05	2.45870345351685e-05
101000	0.586144726842861	2.09330617242253e-05	2.21661741112894e-05	0.569984716710293	2.02612513721186e-05	2.14539601452335e-05
102000	0.585549100734611	2.40412268850799e-05	2.46368529933293e-05	0.569315882799966	2.33988854175462e-05	2.4067719327873e-05
103000	0.584839187705818	2.43622392974754e-05	2.50721523262687e-05	0.568628176982184	2.3590960905176e-05	2.42786667229586e-05
104000	0.584554420332686	2.34484505615131e-05	2.3733217934645e-05	0.568476589546568	2.2927678797602e-05	2.30792662332179e-05
105000	0.58337720594444	2.23357046356497e-05	2.3512919023896e-05	0.567511947986152	2.1872139660559e-05	2.28367812209744e-05
106000	0.582376150468631	1.97947732837964e-05	2.07958287596048e-05	0.566639555011399	1.89552267162037e-05	1.98276196909568e-05
107000	0.581304525880267	2.42281938697965e-05	2.52998184581609e-05	0.565795427678798	2.38701131470067e-05	2.47142404796082e-05
108000	0.580728721607701	2.37580638351769e-05	2.43338681077429e-05	0.565341193109854	2.30956894367981e-05	2.35499240057418e-05
109000	0.579573292240142	2.2619522080554e-05	2.37749514481128e-05	0.564285126234907	2.20024275943595e-05	2.30584944693068e-05
110000	0.578351895634552	2.39602507810521e-05	2.51816473866419e-05	0.563257599425821	2.35595077260829e-05	2.45870345351685e-05
111000	0.57803058768893	2.50009288187115e-05	2.53222367643333e-05	0.562974457485434	2.45515916575192e-05	2.4834733597906e-05
112000	0.577520750654395	2.10740944017564e-05	2.15839314362915e-05	0.562376783754116	2.02295659883475e-05	2.08272397196656e-05
113000	0.576386114160263	2.38119986489909e-05	2.49466351431225e-05	0.561264966646964	2.31944186439247e-05	2.43062357510766e-05
114000	0.575945938529089	2.54503715274845e-05	2.58905471586591e-05	0.560863653635059	2.4793612260407e-05	2.51949252723128e-05
115000	0.575427066621633	2.23944946381828e-05	2.29133665456388e-05	0.560303554842523	2.16468166849616e-05	2.22069154774973e-05
116000	0.57480197162881	2.17604069914717e-05	2.23855019842945e-05	0.559729270455121	2.1069450308199e-05	2.16437346956008e-05
117000	0.574159693489825	2.17870894199105e-05	2.24293675588956e-05	0.559029912184413	2.11767499788905e-05	2.18761082495989e-05
118000	0.57293766359875	2.21032888626193e-05	2.33253187536942e-05	0.557889301697205	2.1887422950266e-05	2.30280334374737e-05
119000	0.571924427932112	2.31465844802837e-05	2.41598201469223e-05	0.556912902136283	2.27301992738327e-05	2.37065988347547e-05
120000	0.571195917419573	2.18658912437727e-05	2.25944017563117e-05	0.556217301359453	2.095750654395e-05	2.16531073207803e-05
121000	0.570772946044077	2.29797770835092e-05	2.34027484590054e-05	0.55599674913451	2.25831714937094e-05	2.28037237186524e-05
122000	0.570089419910496	2.14943426496665e-05	2.21778687832475e-05	0.555458899772017	2.12636156379296e-05	2.18014650004222e-05
123000	0.569228320526894	2.08347969264544e-05	2.16958963100566e-05	0.554812758591573	2.05963227222831e-05	2.12424639027273e-05
124000	0.568620661994427	2.05989825213206e-05	2.1206641053787e-05	0.55436673562442	2.00929240901799e-05	2.05389470573334e-05
125000	0.568509837034535	2.47253018660812e-05	2.48361268259731e-05	0.554337393396943	2.40301443890906e-05	2.40594866165668e-05
126000	0.567828105209829	2.02513298995187e-05	2.09330617242253e-05	0.553780904331673	1.97047623068479e-05	2.02612513721186e-05
127000	0.567037448281685	2.32505699569366e-05	2.40412268850799e-05	0.552904964958203	2.25229460440767e-05	2.33988854175462e-05
128000	0.566481339187706	2.38061302034958e-05	2.43622392974754e-05	0.552386620788652	2.30726167356244e-05	2.3590960905176e-05
129000	0.566100629063582	2.30677404373891e-05	2.34484505615131e-05	0.552200413746517	2.27414717554674e-05	2.2927678797602e-05
130000	0.565297580849447	2.15326564215148e-05	2.23357046356497e-05	0.551260174786794	2.09319007008359e-05	2.1872139660559e-05
131000	0.564303364856877	1.88005572912268e-05	1.97947732837964e-05	0.550300282867517	1.79953347969265e-05	1.89552267162037e-05
132000	0.562944376424892	2.28692054378113e-05	2.42281938697965e-05	0.548931584058093	2.25014143375834e-05	2.38701131470067e-05
133000	0.56255594021785	2.33696276281347e-05	2.37580638351769e-05	0.54856541839061	2.27295237693152e-05	2.30956894367981e-05
134000	0.561710651861859	2.17742337245631e-05	2.2619522080554e-05	0.547685109347294	2.11221185510428e-05	2.20024275943595e-05
135000	0.560821751245461	2.30713501646542e-05	2.39602507810521e-05	0.546677531030989	2.25519294097779e-05	2.35595077260829e-05
136000	0.560310457654311	2.44896352275606e-05	2.50009288187115e-05	0.546274909229081	2.41489698556109e-05	2.45515916575192e-05
137000	0.559487144304653	2.02507810520983e-05	2.10740944017564e-05	0.545454656759267	1.94093135185342e-05	2.02295659883475e-05
138000	0.558511061386473	2.28359157308115e-05	2.38119986489909e-05	0.544531453179093	2.22712150637508e-05	2.31944186439247e-05
139000	0.558153233977877	2.50925441188888e-05	2.54503715274845e-05	0.544235012243519	2.44971713248333e-05	2.4793612260407e-05
140000	0.557837878915815	2.2079139576121e-05	2.23944946381828e-05	0.544012370176476	2.14241746179177e-05	2.16468166849616e-05
141000	0.557218736806552	2.11412648822089e-05	2.17604069914717e-05	0.543341678628726	2.03987587604492e-05	2.1069450308199e-05
142000	0.556297496411382	2.08658490247404e-05	2.17870894199105e-05	0.542506459511948	2.03415308621127e-05	2.11767499788905e-05
143000	0.555550768386389	2.13565608376256e-05	2.21032888626193e-05	0.54180919108334	2.11901545216584e-05	2.1887422950266e-05
144000	0.554716119226547	2.23119353204425e-05	2.31465844802837e-05	0.541056869036562	2.19778772270539e-05	2.27301992738327e-05
145000	0.554022017225365	2.11717892425906e-05	2.18658912437727e-05	0.540254644093557	2.01552816009457e-05	2.095750654395e-05
146000	0.553388689521236	2.23464493793802e-05	2.29797770835092e-05	0.539501414337583	2.18299417377353e-05	2.25831714937094e-05
147000	0.552871379717977	2.09770328464072e-05	2.14943426496665e-05	0.539125517183146	2.08877184834924e-05	2.12636156379296e-05
148000	0.552433969433421	2.03973866418982e-05	2.08347969264544e-05	0.538655302710462	2.01261082495989e-05	2.05963227222831e-05
149000	0.552010301443891	2.01753145317909e-05	2.05989825213206e-05	0.53819929494216	1.96369163218779e-05	2.00929240901799e-05
150000	0.551462213966056	2.41772143882462e-05	2.47253018660812e-05	0.537610592755214	2.34414422021447e-05	2.40301443890906e-05
151000	0.551382230009288	2.01713459427509e-05	2.02513298995187e-05	0.537716393650258	1.98105632018914e-05	1.97047623068479e-05
152000	0.550683336147936	2.25516760955839e-05	2.32505699569366e-05	0.537136874102846	2.19434264966647e-05	2.25229460440767e-05
153000	0.550139259478173	2.3262053533733e-05	2.38061302034958e-05	0.536714324917673	2.26500675504518e-05	2.30726167356244e-05
154000	0.549243477159504	2.21719581187199e-05	2.30677404373891e-05	0.535911888879507	2.19390357173013e-05	2.27414717554674e-05
155000	0.548832179346449	2.11213586084607e-05	2.15326564215148e-05	0.535503103098877	2.0523114920206e-05	2.09319007008359e-05
156000	0.548080870556447	1.80492485012244e-05	1.88005572912268e-05	0.534830406147091	1.73226378451406e-05	1.79953347969265e-05
157000	0.547023051591658	2.1811386473022e-05	2.28692054378113e-05	0.533676032255341	2.1347040445833e-05	2.25014143375834e-05
158000	0.546212446170734	2.2559022207211e-05	2.33696276281347e-05	0.532849869121	2.19033606349742e-05	2.27295237693152e-05
159000	0.545452778012328	2.10145655661572e-05	2.17742337245631e-05	0.531975491851727	2.02477412817698e-05	2.11221185510428e-05
160000	0.544699759351516	2.23183315038419e-05	2.30713501646542e-05	0.53127039179262	2.18468293506713e-05	2.25519294097779e-05
161000	0.544278138985055	2.40680148610994e-05	2.44896352275606e-05	0.530839588786625	2.37181668496157e-05	2.41489698556109e-05
162000	0.543930021953897	1.99026640209406e-05	2.02507810520983e-05	0.53055241492865	1.9122139660559e-05	1.94093135185342e-05
163000	0.543224795237693	2.21306890146077e-05	2.28359157308115e-05	0.530113801401672	2.18326015367728e-05	2.22712150637508e-05
164000	0.542590454276788	2.44582031579837e-05	2.50925441188888e-05	0.52962296293169	2.4006332854851e-05	2.44971713248333e-05
165000	0.54225424301275	2.17429283120831e-05	2.2079139576121e-05	0.529318352613358	2.11195642995863e-05	2.14241746179177e-05
166000	0.541997129105801	2.08841509752597e-05	2.11412648822089e-05	0.52895904753863	2.00394536857216e-05	2.03987587604492e-05
167000	0.54115779363337	2.00265135523094e-05	2.08658490247404e-05	0.528199273832644	1.9581757156126e-05	2.03415308621127e-05
168000	0.540736869880942	2.0935637085198e-05	2.13565608376256e-05	0.527822848940302	2.08137296293169e-05	2.11901545216584e-05
169000	0.539419066115005	2.09941315545048e-05	2.23119353204425e-05	0.526627142615891	2.07821709026429e-05	2.19778772270539e-05
170000	0.538701131470067	2.04538545976527e-05	2.11717892425906e-05	0.526067466013679	1.95956049987334e-05	2.01552816009457e-05
171000	0.538060035463987	2.17053533733007e-05	2.23464493793802e-05	0.525261969095668	2.10244448197247e-05	2.18299417377353e-05
172000	0.537673456894368	2.0590454276788e-05	2.09770328464072e-05	0.52481062653044	2.04363759182639e-05	2.08877184834924e-05
173000	0.537488199780461	2.02121295279912e-05	2.03973866418982e-05	0.524633116608967	1.99485983281263e-05	2.01261082495989e-05
