Distance from Center (cmd=annotatePeaks.pl /expanse/lustre/projects/csd940/ctea/homer/homer_scripts/reference_peaks/H3K27ac.bed mm10 -size 500000 -hist 1000 -bedGraph /expanse/lustre/projects/csd940/ctea/homer/bwt2_bam/tags/ctrl_M3/tagdirs/tagdirs.DLR.bedGraph /expanse/lustre/projects/csd940/ctea/homer/bwt2_bam/tags/mut_M3/tagdirs/tagdirs.DLR.bedGraph)	/expanse/lustre/projects/csd940/ctea/homer/bwt2_bam/tags/ctrl_M3/tagdirs/tagdirs.DLR.bedGraph Coverage	/expanse/lustre/projects/csd940/ctea/homer/bwt2_bam/tags/ctrl_M3/tagdirs/tagdirs.DLR.bedGraph + Tags	/expanse/lustre/projects/csd940/ctea/homer/bwt2_bam/tags/ctrl_M3/tagdirs/tagdirs.DLR.bedGraph - Tags	/expanse/lustre/projects/csd940/ctea/homer/bwt2_bam/tags/mut_M3/tagdirs/tagdirs.DLR.bedGraph Coverage	/expanse/lustre/projects/csd940/ctea/homer/bwt2_bam/tags/mut_M3/tagdirs/tagdirs.DLR.bedGraph + Tags	/expanse/lustre/projects/csd940/ctea/homer/bwt2_bam/tags/mut_M3/tagdirs/tagdirs.DLR.bedGraph - Tags
-90000	-1.30964563600364	-0.000260406592818538	-0.000259462032428961	-1.30138545512923	-0.000258159362123401	-0.000257514261251138
-89000	-1.31089126130465	-0.000264785947450099	-0.000263540322149088	-1.30242221865468	-0.000263564777652914	-0.000262528014127468
-88000	-1.31219045325627	-0.000262378712473912	-0.000261079520522288	-1.30335821694226	-0.000261174666880719	-0.00026023866859314
-87000	-1.31332573446781	-0.000263676620110238	-0.0002625413388987	-1.3041834965484	-0.000261766254615509	-0.000260940975009365
-86000	-1.31400850858886	-0.000262760635736073	-0.000262077861615027	-1.30484047733719	-0.000260175416064644	-0.00025951843527586
-85000	-1.31518986461176	-0.000261587948841441	-0.000260406592818538	-1.30583555412854	-0.000259154438914753	-0.000258159362123401
-84000	-1.31641087386954	-0.000266006956707873	-0.000264785947450099	-1.30677722480869	-0.000264506448333066	-0.000263564777652914
-83000	-1.31774415368973	-0.000263711992294108	-0.000262378712473912	-1.30785059132017	-0.000262248033392197	-0.000261174666880719
-82000	-1.31881570075454	-0.000264748167175041	-0.000263676620110238	-1.30880885107294	-0.000262724514368277	-0.000261766254615509
-81000	-1.31953309787553	-0.000263478032857067	-0.000262760635736073	-1.3096050195323	-0.000260971584524	-0.000260175416064644
-80000	-1.32067480066356	-0.000262729651629475	-0.000261587948841441	-1.3106757103869	-0.000260225129769359	-0.000259154438914753
-79000	-1.32137978273666	-0.00026671193878097	-0.000266006956707873	-1.31131583453738	-0.000265146572483544	-0.000264506448333066
-78000	-1.32217621876171	-0.000264508428319152	-0.000263711992294108	-1.31203863648526	-0.000262970835340076	-0.000262248033392197
-77000	-1.32356798844116	-0.000266139936854497	-0.000264748167175041	-1.31312168887462	-0.000263807566757639	-0.000262724514368277
-76000	-1.32467319526944	-0.000264583239685342	-0.000263478032857067	-1.31418745652058	-0.000262037352169957	-0.000260971584524
-75000	-1.32571793225237	-0.000263774388612405	-0.000262729651629475	-1.31537796328999	-0.00026141563653877	-0.000260225129769359
-74000	-1.32638732808905	-0.000267381334617649	-0.00026671193878097	-1.3159651629475	-0.000265733772141061	-0.000265146572483544
-73000	-1.32705056991491	-0.000265171670145021	-0.000264508428319152	-1.3168699095628	-0.00026387558195537	-0.000262970835340076
-72000	-1.32785401616097	-0.000266943383100551	-0.000266139936854497	-1.31765275325092	-0.000264590410445764	-0.000263807566757639
-71000	-1.3287506822925	-0.000265479905816879	-0.000264583239685342	-1.31829105795473	-0.000262675656873763	-0.000262037352169957
-70000	-1.32955204152619	-0.000264575747846096	-0.000263774388612405	-1.31895729651629	-0.000262081875100337	-0.00026141563653877
-69000	-1.33071461443784	-0.000268543907529299	-0.000267381334617649	-1.32017129555306	-0.000266947771177824	-0.000265733772141061
