stripe_id	direction	direction_confidence	significant_FDR05	stripe_logFC	stripe_FDR	anchor_type	symbol	dist_to_tss	gene_pool	log2FoldChange	padj	baseMean	is_deg
stripe_1182	unchanged	high	TRUE	-0.0642244960812682	0.047700479857586	Poised_Enhancer	Crlf3	NA	body	-0.0993750720315308	0.60760701961663	242.275386340854	FALSE
stripe_1182	unchanged	high	TRUE	-0.0642244960812682	0.047700479857586	Poised_Enhancer	Psmd11	NA	body	0.0886645170935842	0.343845749878648	650.469539537663	FALSE
stripe_1182	unchanged	high	TRUE	-0.0642244960812682	0.047700479857586	Poised_Enhancer	Rhbdl3	NA	body	0.301354930821632	0.387635452477491	59.4216397565718	FALSE
stripe_1182	unchanged	high	TRUE	-0.0642244960812682	0.047700479857586	Poised_Enhancer	Rhot1	NA	body	0.0957601147830439	0.484073647227639	731.273141706963	FALSE
stripe_1182	unchanged	high	TRUE	-0.0642244960812682	0.047700479857586	Poised_Enhancer	Rnf135	NA	body	-0.388764442133903	0.548900908717984	13.4744126571929	FALSE
stripe_1182	unchanged	high	TRUE	-0.0642244960812682	0.047700479857586	Poised_Enhancer	Suz12	NA	body	0.127887175952829	0.445439448237292	481.950624200492	FALSE
stripe_1182	unchanged	high	TRUE	-0.0642244960812682	0.047700479857586	Poised_Enhancer	Tefm	NA	body	-0.285727217089571	0.405850818095462	39.5066546004282	FALSE
stripe_1182	unchanged	high	TRUE	-0.0642244960812682	0.047700479857586	Poised_Enhancer	Zfp207	NA	body	0.00475536917471378	0.984068024022268	2964.98513109261	FALSE
stripe_1183	unchanged	low	FALSE	-0.0402487085200482	0.294750035629036	Other	Myo1d	NA	body	-0.0757763189780115	0.769906105861447	458.78992595009	FALSE
stripe_1183	unchanged	low	FALSE	-0.0402487085200482	0.294750035629036	Other	Spaca3	NA	body	-1.09244837209768	0.391257334300613	2.22427750853038	FALSE
stripe_1183	unchanged	low	FALSE	-0.0402487085200482	0.294750035629036	Other	Tmem98	NA	body	0.291544982460805	0.548480467521627	27.5387834972635	FALSE
stripe_1185	unchanged	low	FALSE	-0.0236733380083414	0.565880337694947	Poised_Enhancer	Myo1d	NA	body	-0.0757763189780115	0.769906105861447	458.78992595009	FALSE
stripe_1185	unchanged	low	FALSE	-0.0236733380083414	0.565880337694947	Poised_Enhancer	Spaca3	NA	body	-1.09244837209768	0.391257334300613	2.22427750853038	FALSE
stripe_1185	unchanged	low	FALSE	-0.0236733380083414	0.565880337694947	Poised_Enhancer	Tmem98	NA	body	0.291544982460805	0.548480467521627	27.5387834972635	FALSE
stripe_1186	gained	high	TRUE	0.12359625780057	0.00322376796903632	Repressed_Promoter	Asic2	NA	body	-0.342966540131051	0.0109480507809627	1537.10065425587	TRUE
stripe_1187	lost	low	FALSE	-0.0157546691578814	0.75366654870122	Other	Cct6b	NA	body	-0.0572629892028399	0.973029919344616	8.51365455004979	FALSE
stripe_1187	lost	low	FALSE	-0.0157546691578814	0.75366654870122	Other	Fndc8	NA	body	-0.00578242974183014	0.995560015551384	26.4036035733093	FALSE
stripe_1187	lost	low	FALSE	-0.0157546691578814	0.75366654870122	Other	Lig3	NA	body	0.0613672997155483	0.818885782169955	255.157257126465	FALSE
stripe_1187	lost	low	FALSE	-0.0157546691578814	0.75366654870122	Other	Nle1	NA	body	-0.374662237114458	0.121170500616653	51.0015292667665	FALSE
stripe_1187	lost	low	FALSE	-0.0157546691578814	0.75366654870122	Other	Rad51d	NA	body	-0.0924597107650088	0.724666283035005	155.794023064675	FALSE
