##FastQC	0.11.8
>>Basic Statistics	pass
#Measure	Value
Filename	evoC-Bap1-mut-M_S2_L005_R2_001.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	312387017
Sequences flagged as poor quality	0
Sequence length	151
%GC	22
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	34.52340115338404	40.0	40.0	40.0	9.0	40.0
2	37.932093599139556	40.0	40.0	40.0	40.0	40.0
3	38.07596996580687	40.0	40.0	40.0	40.0	40.0
4	37.7700388617623	40.0	40.0	40.0	24.0	40.0
5	38.07941556354757	40.0	40.0	40.0	40.0	40.0
6	38.36001602140847	40.0	40.0	40.0	40.0	40.0
7	38.61866686668351	40.0	40.0	40.0	40.0	40.0
8	38.73849626727605	40.0	40.0	40.0	40.0	40.0
9	38.805322853734346	40.0	40.0	40.0	40.0	40.0
10-14	38.95295174254953	40.0	40.0	40.0	40.0	40.0
15-19	39.039807254217614	40.0	40.0	40.0	40.0	40.0
20-24	39.05273347643638	40.0	40.0	40.0	40.0	40.0
25-29	39.03098638187002	40.0	40.0	40.0	40.0	40.0
30-34	39.00828892578465	40.0	40.0	40.0	40.0	40.0
35-39	38.95230898664396	40.0	40.0	40.0	40.0	40.0
40-44	38.92039102380494	40.0	40.0	40.0	40.0	40.0
45-49	38.874279416676266	40.0	40.0	40.0	40.0	40.0
50-54	38.834092510957326	40.0	40.0	40.0	40.0	40.0
55-59	38.77874832230943	40.0	40.0	40.0	40.0	40.0
60-64	38.72863806820756	40.0	40.0	40.0	40.0	40.0
65-69	38.673816658648136	40.0	40.0	40.0	40.0	40.0
70-74	38.61179253553934	40.0	40.0	40.0	40.0	40.0
75-79	38.53946001603517	40.0	40.0	40.0	40.0	40.0
80-84	38.486880916052925	40.0	40.0	40.0	40.0	40.0
85-89	38.41961148340554	40.0	40.0	40.0	40.0	40.0
90-94	38.33552449716564	40.0	40.0	40.0	40.0	40.0
95-99	38.2628259240364	40.0	40.0	40.0	40.0	40.0
100-104	38.18979138239922	40.0	40.0	40.0	40.0	40.0
105-109	38.104340835650035	40.0	40.0	40.0	40.0	40.0
110-114	38.00748895847999	40.0	40.0	40.0	40.0	40.0
115-119	37.94233208737993	40.0	40.0	40.0	40.0	40.0
120-124	37.85822044646625	40.0	40.0	40.0	27.2	40.0
125-129	37.76775318034424	40.0	40.0	40.0	24.0	40.0
130-134	37.68741294712642	40.0	40.0	40.0	24.0	40.0
135-139	37.61695373146702	40.0	40.0	40.0	24.0	40.0
140-144	37.543734539390286	40.0	40.0	40.0	24.0	40.0
145-149	37.445899118144204	40.0	40.0	40.0	24.0	40.0
150-151	36.643997698534314	40.0	40.0	40.0	24.0	40.0
>>END_MODULE
>>Per tile sequence quality	warn
#Tile	Base	Mean
1103	50-54	0.32993923834744265
1103	55-59	0.35567021251574005
1103	60-64	0.361400617811384
1103	65-69	0.3831545959726341
1103	70-74	0.4100563028430244
1103	75-79	0.4250464826257172
1103	80-84	0.44508655033311584
1103	85-89	0.4724618400036462
1103	90-94	0.49573315739318957
1103	95-99	0.5103088908992177
1103	100-104	0.5298672947388425
1103	105-109	0.5459263264625989
1103	110-114	0.588602714908248
1103	115-119	0.5980122968035531
1103	120-124	0.6294040027869556
1103	125-129	0.665407107541597
1103	130-134	0.6770544424758569
1103	135-139	0.6928009407983069
1103	140-144	0.7081231077465446
1103	145-149	0.7461292375268371
1103	150-151	1.080524368434034
1104	1	0.30971065145283916
1104	2	0.13178892540126697
1104	3	0.2250414990015912
1104	4	0.7715896574271923
1104	5	0.6856717380119051
1104	6	0.5964830702925425
1104	7	0.42899436067779817
1104	8	0.4069541828319032
1104	9	0.3822245860663074
1104	10-14	0.32026055404018194
1104	15-19	0.3007855496550462
1104	20-24	0.2959094822079038
1104	25-29	0.2928098730967008
1104	30-34	0.2849510390857901
1104	35-39	0.3090712075625248
1104	40-44	0.3060963497242213
1104	45-49	0.326718012100919
1104	50-54	0.3295752645841432
1104	55-59	0.34044206425928536
1104	60-64	0.3724155074687019
1104	65-69	0.3663876073594565
1104	70-74	0.40975165118302215
1104	75-79	0.428247664284541
1104	80-84	0.4314492867778341
1104	85-89	0.45730947166592273
1104	90-94	0.4736322676085791
1104	95-99	0.4910471947586572
1104	100-104	0.5163677121182388
1104	105-109	0.5438423587830457
1104	110-114	0.5785210668371263
1104	115-119	0.5871439338603679
1104	120-124	0.5774673979885705
1104	125-129	0.6470485519225306
1104	130-134	0.6491563718386999
1104	135-139	0.6770921427768641
1104	140-144	0.6751322701978921
1104	145-149	0.7365512635669944
1104	150-151	1.0256881708520709
1105	1	0.2778333543250042
1105	2	-0.0930184841045616
1105	3	0.04119123792667523
1105	4	0.633579436875479
1105	5	-0.05476848673568924
1105	6	0.5223292531804091
1105	7	0.38385764651037135
1105	8	0.3799509446813616
1105	9	0.3900406773780034
1105	10-14	0.33410577812745856
1105	15-19	0.31394556623633463
1105	20-24	0.30014757358683397
1105	25-29	0.31413229297609746
1105	30-34	0.32713365287388996
1105	35-39	0.335788704196176
1105	40-44	0.3322215745623751
1105	45-49	0.3598677170899478
1105	50-54	0.3610333553386553
1105	55-59	0.38059323426469405
1105	60-64	0.39314486304757423
1105	65-69	0.40985770496745033
1105	70-74	0.41937885279321563
1105	75-79	0.4535559893025152
1105	80-84	0.46433398008836946
1105	85-89	0.4715352286611889
1105	90-94	0.5086696137793325
1105	95-99	0.5218176045735419
1105	100-104	0.537542124788196
1105	105-109	0.5898978702050215
1105	110-114	0.6123226058030724
1105	115-119	0.637402531440884
1105	120-124	0.6560892807855225
1105	125-129	0.6874419173717357
1105	130-134	0.7113834057827475
1105	135-139	0.7111095620105843
1105	140-144	0.6954165087534037
1105	145-149	0.7314739935729335
1105	150-151	1.070968831767317
1106	1	0.12033546760304148
1106	2	-0.03482383114989318
1106	3	0.12933209596020134
1106	4	0.6423418232675076
1106	5	-0.053942011174406446
1106	6	0.554493834962436
1106	7	0.37133820003446516
1106	8	0.4044349677147707
1106	9	0.3584496328707232
1106	10-14	0.3161540853648006
1106	15-19	0.2938930140176197
1106	20-24	0.30075537495805804
1106	25-29	0.2945632085909793
1106	30-34	0.2866536150438108
1106	35-39	0.3154495470088392
1106	40-44	0.32436967387535987
1106	45-49	0.3406182508874238
1106	50-54	0.3501411506485752
1106	55-59	0.3702496661341357
1106	60-64	0.3659235110731558
1106	65-69	0.3975714981946368
1106	70-74	0.41157509445449136
1106	75-79	0.43995453267342555
1106	80-84	0.4417038997057574
1106	85-89	0.4482354301004676
1106	90-94	0.4960667344591343
1106	95-99	0.5054716608926455
1106	100-104	0.5115989903523328
1106	105-109	0.5505071055049271
1106	110-114	0.5792388969278406
1106	115-119	0.5803704376684635
1106	120-124	0.586545049912516
1106	125-129	0.622834074268674
1106	130-134	0.6271361759618443
1106	135-139	0.6660741775106374
1106	140-144	0.6743820369632232
1106	145-149	0.7145806875483984
1106	150-151	1.015684743582888
1107	1	0.1005378518949982
1107	2	-0.0450704407344773
1107	3	0.18915279231052295
1107	4	0.6904302811829908
1107	5	0.7288851467992288
1107	6	-0.06004185547271845
1107	7	0.46850515838814033
1107	8	0.44090958535736036
1107	9	0.4035497617011572
1107	10-14	0.34489221587348595
1107	15-19	0.3209251072028394
1107	20-24	0.29958369801236984
1107	25-29	0.3025589416395107
1107	30-34	0.3105431547214721
1107	35-39	0.32321286397755955
1107	40-44	0.3369721890711048
1107	45-49	0.3391741130613255
1107	50-54	0.3549018295530786
1107	55-59	0.3621521704190087
1107	60-64	0.37642011378815
1107	65-69	0.39362023945366786
1107	70-74	0.4065165280214913
1107	75-79	0.4373667575567879
1107	80-84	0.4418925118813135
1107	85-89	0.4615244055274488
1107	90-94	0.48341235124271265
1107	95-99	0.5028078757597783
1107	100-104	0.5087090435143935
