gene	me2_fold	me2_fdr	me2_n_peaks	mc_diff	mc_q	mc_sig	hmc_diff	hmc_q	hmc_sig	chromatin_state	dmr_status
4930529K09Rik	-0.54990714601074	0.0109093433416935	1	NA	NA	NA	NA	NA	NA	NA	NA
4930533N22Rik	1.04660369112402	0.000887570667959613	1	NA	NA	NA	NA	NA	NA	NA	NA
4930534H03Rik	0.51797708425942	0.0450894473069754	2	NA	NA	NA	NA	NA	NA	NA	NA
4930542M03Rik	0.477967866147924	0.0155361554436731	1	NA	NA	NA	NA	NA	NA	NA	NA
4930543E12Rik	-0.567125502982435	0.0350574735915898	1	NA	NA	NA	NA	NA	NA	NA	NA
4930545L23Rik	0.5653242458376	0.0355918484428128	1	NA	NA	NA	NA	NA	NA	NA	NA
4930546C10Rik	-0.461418385316899	0.0351058239742432	2	NA	NA	NA	NA	NA	NA	NA	NA
4930546K05Rik	0.470797611028477	0.0211410357825533	1	NA	NA	NA	NA	NA	NA	NA	NA
4930548K13Rik	-0.530335883485228	0.0383998309074384	3	NA	NA	NA	NA	NA	NA	NA	NA
4930549C15Rik	0.457015024900021	0.019841760856865	1	NA	NA	NA	NA	NA	NA	NA	NA
4930553E22Rik	0.634194704352957	0.0205432718525345	1	NA	NA	NA	NA	NA	NA	NA	NA
4930554C24Rik	-0.662383053197236	0.0161650780742341	1	NA	NA	NA	NA	NA	NA	NA	NA
4930554I06Rik	-0.632181841685811	0.00757751900777021	4	NA	NA	NA	NA	NA	NA	NA	NA
4930556N09Rik	0.459187084419521	0.0205900971088647	4	NA	NA	NA	NA	NA	NA	NA	NA
4930562F07Rik	0.48287374272342	0.0383358687430685	1	NA	NA	NA	NA	NA	NA	NA	NA
4930563F08Rik	0.879443267254287	0.00350124303947849	11	NA	NA	NA	NA	NA	NA	NA	NA
4930564D02Rik	-0.503148949293706	0.0366694561503915	1	0.00444783478679434	0.535512889373745	FALSE	0.00033106218962449	0.940841681529896	FALSE	Other	Not DMR
4930567K12Rik	0.640808291620645	0.000267108626708881	9	NA	NA	NA	NA	NA	NA	NA	NA
