gene	mc_diff	mc_q	mc_ctrl	mc_mut	hmc_diff	hmc_q	hmc_ctrl	hmc_mut	coordinated_pattern	combined_effect
Diaph1	0.030980387971672	1.16752425141743e-05	0.749785213668617	0.780765601640289	-0.0231216628086996	9.74227742866067e-06	0.123418202497351	0.100296539688651	TRUE	0.0541020507803716
Dcp2	0.0277936999825377	0.0114627846163567	0.72811722092315	0.755910920905688	-0.0263079065047983	0.0012249703161813	0.157680911803951	0.131373005299152	TRUE	0.0541016064873359
Csmd1	-0.0232627613239149	7.89298113003513e-39	0.795553192006698	0.772290430682783	0.030833485422899	1.215052069864e-116	0.094322130396926	0.125155615819825	FALSE	0.0540962467468139
Dnaaf5	0.0285318604130105	0.0427189679959784	0.806830583202375	0.835362443615385	-0.0255385519845651	0.0121403825110067	0.108933644276101	0.0833950922915359	TRUE	0.0540704123975756
Bmpr1a	0.0226901641456754	0.015957313617445	0.65347796777835	0.676168131924025	-0.0313395310430942	5.04991252506279e-06	0.196733000666132	0.165393469623038	TRUE	0.0540296951887695
Etv5	0.0317791996398978	0.000483018607185726	0.678871104216613	0.71065030385651	-0.0222341083608531	0.0035812448015759	0.183943323263737	0.161709214902884	TRUE	0.054013308000751
Pcnx2	0.0247086642248068	0.0018731815161991	0.77637903062424	0.801087694849047	-0.0292786084357985	3.73189662972182e-07	0.129926688872897	0.100648080437098	TRUE	0.0539872726606053
Pitpnc1	0.0296359075045345	5.14548796609093e-08	0.71071237418532	0.740348281689854	-0.0243404269511186	3.44692598585005e-07	0.202177318568534	0.177836891617416	TRUE	0.0539763344556531
Cdh18	0.0317522903879501	2.0242972423446e-32	0.720881907797172	0.752634198185122	-0.0222081304484675	9.19606696184221e-23	0.173063539421079	0.150855408972611	TRUE	0.0539604208364176
B3galt1	-0.0272505736497322	8.70316937840477e-22	0.784829420927374	0.757578847277642	0.0266841100353442	2.79242780292689e-28	0.139336653460859	0.166020763496203	FALSE	0.0539346836850763
Vat1l	0.0312846155599337	8.61603928810456e-06	0.66359981156385	0.694884427123783	-0.0226368056385591	0.000414391840044016	0.237556762606397	0.214919956967838	TRUE	0.0539214211984927
Atp8a1	0.0226351869435559	1.83254883008893e-06	0.684467857558964	0.70710304450252	-0.0312677030704716	3.26716470553849e-17	0.198696918081334	0.167429215010862	TRUE	0.0539028900140275
Gm45062	0.0275837878866909	5.72043406181669e-14	0.721365126228394	0.748948914115085	-0.0263119165964314	2.14964474604913e-18	0.172127328460649	0.145815411864218	TRUE	0.0538957044831223
Fxr1	0.029818296381752	0.0048708741065755	0.684944835374859	0.714763131756611	-0.0240578927062597	0.0109632286425034	0.21230502452045	0.18824713181419	TRUE	0.0538761890880117
Dync1h1	0.0294984789851193	3.9464141982609e-06	0.799679959213385	0.829178438198504	-0.0243209983266668	2.49090242660864e-06	0.125297128802404	0.100976130475738	TRUE	0.0538194773117861
Ncor1	0.0247636546023215	0.00701024490848871	0.659056785195386	0.683820439797707	-0.0290538763335084	5.0670586006204e-05	0.214730830712113	0.185676954378604	TRUE	0.0538175309358299
Map4k5	0.0234960800177322	0.000936668888531735	0.742709763362179	0.766205843379911	-0.0302977218179921	3.21907343225443e-08	0.166266378722036	0.135968656904044	TRUE	0.0537938018357242
Wdr48	0.0286090782830595	0.0221617703286383	0.798752546726379	0.827361625009439	-0.0251610793239191	0.00767988586909711	0.117417365663872	0.0922562863399532	TRUE	0.0537701576069785
Wdtc1	0.0322129404844586	0.00507659296409326	0.695016310301655	0.727229250786114	-0.021538498678031	0.0129723302831182	0.148332289995696	0.126793791317665	TRUE	0.0537514391624896
Dnajc11	0.0236578943898138	0.0403125012521729	0.809446279959581	0.833104174349395	-0.0300597648313436	0.000301398804755213	0.127371666674776	0.0973119018434329	TRUE	0.0537176592211574
Baz1b	0.0279627215021012	0.0252311609535751	0.67082228018846	0.698785001690561	-0.0257528454611122	0.0130491440122673	0.219929973177292	0.19417712771618	TRUE	0.0537155669632134
Stam	0.0262145419043387	0.0242138892047095	0.709835424448488	0.736049966352827	-0.027498814221622	0.00355240257860256	0.198204195000479	0.170705380778857	TRUE	0.0537133561259607
Golga4	0.0242825678190384	0.00365565232772156	0.769974162458668	0.794256730277706	-0.0294127346596708	4.78600115523602e-06	0.147654217824828	0.118241483165157	TRUE	0.0536953024787092
Smad2	0.0303954263531488	0.00027166209785654	0.71575964553009	0.746155071883239	-0.0232723098132429	0.0019187502872107	0.199883096870184	0.176610787056942	TRUE	0.0536677361663917
Racgap1	0.0293003569196348	0.0279130585476571	0.807884038992941	0.837184395912576	-0.0243668320052617	0.0177344069742604	0.120071383757195	0.0957045517519333	TRUE	0.0536671889248965
Mtus2	0.0216778946778902	8.18037023728058e-06	0.66990986889295	0.69158776357084	-0.0319789798745182	2.83121614245824e-16	0.207151656861266	0.175172676986748	TRUE	0.0536568745524084
Arl13b	0.0272971354819704	0.00201654064078206	0.777597166679735	0.804894302161706	-0.0263473443279903	2.33771786652327e-05	0.115814187511435	0.0894668431834449	TRUE	0.0536444798099607
Mettl15	0.0265665154990093	1.44761002064884e-07	0.822923787815549	0.849490303314559	-0.0270259102744903	4.46036525206592e-13	0.098665616634524	0.0716397063600338	TRUE	0.0535924257734996
Tdrd7	0.0293429908391856	0.00262754042536661	0.744712301709884	0.77405529254907	-0.0242493797408849	0.000128230202502932	0.106800361902487	0.0825509821616019	TRUE	0.0535923705800705
Zfp654	0.0256318619518249	0.0221837122077675	0.72482828654847	0.750460148500295	-0.0279590407854324	0.0024283843125178	0.196988701182299	0.169029660396867	TRUE	0.0535909027372573
