Gene_Name	mean_ctrl_pc1	mean_mut_pc1	n_bins	ctrl_label	mc_diff	mc_sig	mc_direction	hmc_diff	hmc_sig	hmc_direction
Siah3	0.605	0.675	1	A.2	0.0010080066426823	FALSE	Hypermethylated	-0.00841474038537299	TRUE	Hypomethylated
Sidt1	1.609	1.55844444444444	3	A.1	0.0641870438423581	TRUE	Hypermethylated	-0.0340563780118688	TRUE	Hypomethylated
Sidt2	1.69366666666667	1.65766666666667	1	A.1	0.0776451821972112	TRUE	Hypermethylated	-0.0414594905250104	TRUE	Hypomethylated
Siglecf	-0.322666666666667	-0.476	1	B.1	0.0150324444079102	FALSE	Hypermethylated	-0.00375716706112024	FALSE	Hypomethylated
Siglecg	0.0283333333333333	-0.062	1	B.1	0.00749206129878643	FALSE	Hypermethylated	-0.00529414801807103	FALSE	Hypomethylated
Siglech	-1.14386666666667	-1.13723333333333	10	B.2	-0.0053072644877209	FALSE	Hypomethylated	-0.00930028626950445	FALSE	Hypomethylated
Sik1	0.9898	1.16426666666667	5	A.2	-0.0171484929910839	TRUE	Hypomethylated	0.0220602534136378	TRUE	Hypermethylated
Sik2	0.756166666666665	0.649166666666667	2	A.1	0.0227355713410747	TRUE	Hypermethylated	-0.0250296544892398	TRUE	Hypomethylated
Sik3	1.70533333333333	1.65	1	A.1	0.0125893060785168	TRUE	Hypermethylated	-0.022349791663843	TRUE	Hypomethylated
Sike1	1.18333333333333	1.07133333333333	1	A.1	0.0356150986471814	TRUE	Hypermethylated	-0.0314212313320502	TRUE	Hypomethylated
Sil1	1.43926666666667	1.3304	5	A.1	0.0392836321874239	TRUE	Hypermethylated	-0.023944939550346	TRUE	Hypomethylated
Sim1	-0.802153846153847	-0.842794871794872	13	B.2	0.00499179335512812	FALSE	Hypermethylated	-0.00230124250739377	FALSE	Hypomethylated
Sim2	1.31958333333333	1.446	4	A.2	-0.00215754127093176	FALSE	Hypomethylated	0.00376466926926554	FALSE	Hypermethylated
Simc1	1.508	1.49466666666667	1	A.1	0.0381953129079857	TRUE	Hypermethylated	-0.0325039980714597	TRUE	Hypomethylated
Sin3b	1.41933333333333	1.43333333333333	1	B.1	0.0147761745863626	TRUE	Hypermethylated	-0.0177056949823772	TRUE	Hypomethylated
Sinhcaf	1.001	1.00833333333333	1	A.1	-0.0178595661026921	TRUE	Hypomethylated	-0.00777845873891621	TRUE	Hypomethylated
Sipa1l1	1.31779166666667	1.33683333333333	8	A.1	0.00300981828504621	FALSE	Hypermethylated	-0.00260038324048406	FALSE	Hypomethylated
Sipa1l2	1.51114285714286	1.49690476190476	7	A.1	0.0376232436013056	TRUE	Hypermethylated	-0.0274221930855386	TRUE	Hypomethylated
Sipa1l3	1.04144444444445	0.843222222222223	6	A.1	0.0359855925323995	TRUE	Hypermethylated	-0.0208351562656853	TRUE	Hypomethylated
Sirpa	1.67266666666666	1.63966666666667	2	A.1	0.039299634266889	TRUE	Hypermethylated	-0.0272993011163345	TRUE	Hypomethylated
Sirpb1a	-1.019	-1.07311111111111	3	B.2	-0.0046897664511435	FALSE	Hypomethylated	-0.00169263348469809	FALSE	Hypomethylated
Sirpb1b	-0.972333333333333	-1.021	2	B.2	-0.0142870994562178	TRUE	Hypomethylated	-0.00170719362004639	TRUE	Hypomethylated
Sirt5	1.66716666666667	1.6695	2	A.1	0.0184918368894961	TRUE	Hypermethylated	-0.0169891290248049	TRUE	Hypomethylated
Sis	-1.04177272727273	-0.93760606060606	22	B.2	0.000678343262998204	FALSE	Hypermethylated	-0.00188610439528626	FALSE	Hypomethylated
Siva1	1.57966666666667	1.579	1	A.1	0.00874341273734025	FALSE	Hypermethylated	0.00274652597837663	FALSE	Hypermethylated
Six1	0.468	0.437333333333333	1	A.2	-0.00736173529409791	TRUE	Hypomethylated	-0.000919536096160621	FALSE	Hypomethylated
Six2	-0.700458333333333	-0.666666666666667	8	B.1	-0.00016199949106939	FALSE	Hypomethylated	0.00232769335890142	FALSE	Hypermethylated
Six4	0.926333333333333	0.938666666666667	1	A.1	0.00474713438548702	FALSE	Hypermethylated	-0.00297676191694401	FALSE	Hypomethylated
Six6	0.122	-0.0068333333333333	2	B.1	-0.0156307931039058	TRUE	Hypomethylated	0.00367508431094068	FALSE	Hypermethylated
Ska1	-0.0478333333333335	0.296666666666667	2	A.2	-0.0105031928411856	TRUE	Hypomethylated	0.0113434309296509	TRUE	Hypermethylated
Skap1	-0.756888888888889	-0.867111111111111	3	B.2	-0.0100609208584077	TRUE	Hypomethylated	-0.000975977486406668	FALSE	Hypomethylated
Skap2	0.54375	0.259458333333333	8	B.1	0.00219730530266238	FALSE	Hypermethylated	-0.00463171785040396	TRUE	Hypomethylated
Skil	1.466	1.40266666666667	2	A.1	0.0175159847802187	TRUE	Hypermethylated	-0.0190368627192773	TRUE	Hypomethylated
