ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
GO:0000724	double-strand break repair via homologous recombination	20/1938	178/28832	0.112359550561798	1.6715947171299	2.41270199472162	0.0167349151950928	0.0903439661412584	0.0690616774205201	Mus81/Hus1b/Sem1/Shld3/Rad52/Pias4/Yy1/Epc2/Nabp1/Ube2n/Ppp4c/Ppp4r2/Rad21/Kat5/Khdc3/Ing3/Morf4l1/Smc5/Sfpq/Rif1	20
GO:0006816	calcium ion transport	44/1938	470/28832	0.0936170212765957	1.39275849197462	2.30454464322811	0.0167441837091955	0.0903439661412584	0.0690616774205201	Mcu/Lyn/Grin2c/Ubash3b/Usp2/Gnai2/Pln/Adrb2/Cyp27b1/Prnp/Snca/Trpm3/Saraf/Slc8a2/Plcl2/Micu3/Hcrt/Jph4/Hspa9/Calm2/Mcur1/Orai1/Atp1b1/Tmx1/Micu1/Ppp3r1/Bin1/Il16/Chrnb2/Orai3/Atp2b1/Selenok/Dbi/Ddit3/Atp2a2/Ehd3/Pde4d/Ubqln1/Tmem38a/Camk2g/Oga/Camk2d/Atp2b4/Ppp3ca	44
GO:0021954	central nervous system neuron development	14/1938	111/28832	0.126126126126126	1.87640271850798	2.483387358629	0.0167984939467833	0.0905529205238942	0.0692214085103268	Dclk2/Brinp1/Fbxo45/B4galt6/Nanos1/Nfib/Grcc10/Chrnb2/Pten/Adarb1/Crk/Crkl/Pafah1b1/Rac1	14
GO:0006354	DNA-templated transcription elongation	15/1938	122/28832	0.122950819672131	1.82916307161346	2.46366872234929	0.0169370580896373	0.0910464797029441	0.0695987001687225	Epop/Elob/Med25/Polr1d/Supt4a/Ubtf/Med31/Ccnt1/Ccnt2/Leo1/Med28/Eny2/Cdk9/Cdk13/Gtf2h5	15
GO:0046031	ADP metabolic process	15/1938	122/28832	0.122950819672131	1.82916307161346	2.46366872234929	0.0169370580896373	0.0910464797029441	0.0695987001687225	Ier3/Galt/Gapdh/Eno2/Jmjd8/Bad/Ak4/Zbtb20/Mlst8/Ddit4/Aldoa/Tpi1/Gpd1/Hif1a/Bpgm	15
GO:0120034	positive regulation of plasma membrane bounded cell projection assembly	15/1938	122/28832	0.122950819672131	1.82916307161346	2.46366872234929	0.0169370580896373	0.0910464797029441	0.0695987001687225	Pfn1/Tapt1/Cfl1/Wasf2/Srf/Cdc42ep2/Wasl/Cdc42ep3/Fuz/Entr1/Kctd17/Cep120/Plekhm1/Brk1/Rac1	15
GO:0035640	exploration behavior	8/1938	50/28832	0.16	2.38035087719298	2.622364472286	0.0175935423090621	0.094488053935268	0.0722295442594048	Brinp1/Crbn/Nlgn2/Chl1/Abl2/Crhr1/Ndp/Ube3a	8
GO:2000060	positive regulation of ubiquitin-dependent protein catabolic process	13/1938	101/28832	0.128712871287129	1.91488622546465	2.47247235194986	0.0177622790092042	0.0953061895867826	0.0728549520521375	Dnajb2/Stub1/Csnk1a1/Fbxo22/Sumo2/Rack1/Rnf139/Sirt2/Pten/Fzr1/Zer1/Rad23a/Gsk3a	13
GO:0051962	positive regulation of nervous system development	37/1938	384/28832	0.0963541666666667	1.43347953216374	2.29555328224814	0.017805403846981	0.095439487792563	0.0729568492576902	Lrrn1/Amigo1/Flrt3/Rnf112/Lyn/Lrrtm3/Sgk1/Marcks/Eef2k/Bdnf/Pax6/Ghrl/Ntf3/Srf/Golga2/Dixdc1/Eif4g2/Ist1/Amigo3/Numb/Map1b/Bin1/Nlgn2/Id2/Hif1a/Mfn2/Lrrtm2/Ache/Lrrc24/Khdc3/Nptn/Il1rapl1/Kras/Picalm/Stk11/Prpf19/Pafah1b1	37
GO:0032436	positive regulation of proteasomal ubiquitin-dependent protein catabolic process	11/1938	80/28832	0.1375	2.04561403508772	2.51397761792823	0.0178199697564844	0.095439487792563	0.0729568492576902	Dnajb2/Stub1/Csnk1a1/Fbxo22/Sumo2/Rack1/Sirt2/Fzr1/Zer1/Rad23a/Gsk3a	11
