	ctrl_M1	ctrl_M2	ctrl_M3	mut_M1	mut_M2	mut_M3
loop_168	164.408873677254	122.165961503983	129.045399427414	131.561180949211	152.291646003723	152.024270534515
loop_169	205.894754648209	146.254546880722	156.181216478348	170.295639276505	175.993684053421	185.666877269745
loop_170	271.211828231812	209.125390052795	233.746867895126	225.258542537689	271.070398807526	224.389509916306
loop_171	285.414480686188	249.187324047089	246.255862474442	254.457574129105	262.168022632599	251.130952835083
loop_172	230.693562746048	151.448325514793	160.881336212158	188.912619590759	241.051155686378	161.798146128654
loop_173	132.944977283478	91.3411606550217	104.942498803139	92.7519373893738	93.8308107554913	106.174506157637
loop_174	129.393633365631	110.27928596735	99.2467832565308	96.8729939460754	123.140904664993	111.816027879715
loop_175	193.957788586617	165.125443458557	171.362679481506	164.412532806396	214.900331735611	185.23917555809
loop_176	167.240850925446	158.977809429169	157.681748628616	162.462025880814	179.032473564148	173.454534292221
loop_177	160.682128071785	112.451961755753	119.876648902893	117.476678609848	141.626121997833	139.067999243736
loop_178	94.6414091587067	63.1931957006454	94.6584302186966	92.5953656435013	108.289691925049	93.9822515249252
