gene	log2FC	padj	baseMean	dysregulated	max_delta_unnorm	sum_delta_unnorm	n_enhancers	n_gained_enh	n_lost_enh	has_boundary	boundary_direction	n_diff_loops	n_lost_loops	n_gained_loops	max_loop_logFC_abs	mean_loop_logFC	has_abc	has_loops	n_layers	z_boundary	z_loop_count	z_loop_strength	z_abc	combined_score	go_group
Lyn	-1.051034	0	806.359075	TRUE	-0.527953	-1.154649	7	2	4	TRUE	Control	4	4	0	0.395993412485924	-0.37529225645416897	TRUE	TRUE	3	1	4.421687961938113	2.263935217543837	1.485921156463877	9.171544335945827	Other
Tbx15	-0.123991	0.790571	43.441932	FALSE	0.055361	0.097605	11	5	3	FALSE	NA	4	1	3	0.850380542318386	0.09597055162919549	TRUE	TRUE	2	0	4.421687961938113	5.261258419537328	-0.5291085624552692	9.153837819020172	Other
Prickle1	0.769333	0	686.918659	TRUE	0.210446	0.184556	3	1	1	TRUE	Mutant	3	0	3	0.773746753993014	0.7010292392624696	TRUE	TRUE	3	1	3.249284911282674	4.755750633942724	0.13214021864677186	9.137175763872168	Synapse Assembly
Myt1l	-1.25767	0	5729.959468	TRUE	-1.455823	-3.353669	10	4	3	TRUE	Control	1	1	0	0.315653377596984	-0.315653377596984	TRUE	TRUE	3	1	0.9044788099717969	1.7339795149904345	5.442157456048949	9.08061578101118	Cell Fate Commitment
Lrrc40	0.076806	0.701833	335.556218	FALSE	0.161453	0.055506	7	2	3	FALSE	NA	3	0	3	0.945935162378319	0.8103730305706627	TRUE	TRUE	2	0	3.249284911282674	5.891575743597347	-0.07675530014958036	9.06410535473044	Other
Khdrbs2	-0.104029	0.884473	396.368143	FALSE	-0.02844	-0.023261	3	0	2	TRUE	Control	3	0	3	0.876286328881147	0.7246193844778793	FALSE	TRUE	2	1	3.249284911282674	5.432143574579207	-0.6438938636516972	9.037534622210183	Other
Sh2d4b	0.106425	0.851736	40.340413	FALSE	0.178274	0.675011	12	12	0	FALSE	NA	4	0	4	0.747760355531914	0.6871061366485702	TRUE	TRUE	2	0	4.421687961938113	4.5843337298758735	-0.005034206898025305	9.00098748491596	Other
Tmem117	-0.60144	0	1160.05606	TRUE	0.099028	-0.169773	11	3	4	TRUE	Control	5	5	0	0.469165715644018	-0.3776989832715784	TRUE	TRUE	3	1	5.594091012593551	2.746609632375795	-0.3429219517296488	8.997778693239697	Other
Klhl25	-0.266978	0.198035	88.25529	FALSE	-0.023958	-0.00606	3	1	2	TRUE	Mutant	5	0	5	0.516716962043744	0.4354598418118192	FALSE	TRUE	2	1	5.594091012593551	3.0602770863156974	-0.6630041389001051	8.991363960009144	Other
Ptchd4	-1.408053	2e-6	1131.314363	TRUE	-0.116587	-0.52603	9	3	4	FALSE	NA	6	6	0	0.429871889624772	-0.4039290661043413	TRUE	TRUE	2	0	6.76649406324899	2.487411497811537	-0.2680541866500426	8.985851374410485	Other
Rack1	0.093923	0.671129	234.525224	FALSE	0.451763	0.338699	7	1	1	FALSE	NA	3	0	3	0.742833117577805	0.6355048675226593	TRUE	TRUE	2	0	3.249284911282674	4.551831654724583	1.1610635323728011	8.962180098380058	Other
