loop_id	direction	logFC	FDR	anchor1_type	anchor2_type	anchor1_dist_to_boundary	anchor2_dist_to_boundary	min_dist_to_boundary	nearest_boundary_type	nearest_boundary_enriched	nearest_boundary_gap_score	near_boundary_10kb	near_boundary_25kb	near_boundary_50kb	near_boundary_100kb
loop_8390	up_in_mutant	0.44004598884684	0.0164014095997052	Other	Other	144999	824999	144999	Shifted	Matrix 2	2.045034155032496	FALSE	FALSE	FALSE	FALSE
loop_8692	up_in_mutant	0.385417922933943	0.0112458667431278	Other	Other	24999	84999	24999	Split	Matrix 2	3.1065301820523112	FALSE	TRUE	TRUE	TRUE
loop_8667	up_in_mutant	0.424038596320175	0.0037529240316719	Polycomb	Other	164999	4999	4999	Split	Matrix 2	3.2469717425763722	TRUE	TRUE	TRUE	TRUE
loop_8758	down_in_mutant	-0.907636620590362	0.0053478346973716	Polycomb	Polycomb	114999	0	0	Complex	Matrix 2	2.593312707503351	TRUE	TRUE	TRUE	TRUE
loop_8805	up_in_mutant	0.405045328744502	0.0279548023039296	Other	Other	0	0	0	Shifted	Matrix 2	2.1930595271952344	TRUE	TRUE	TRUE	TRUE
loop_10501	down_in_mutant	-0.404442747798368	0.0164014095997052	Poised_Enhancer	Other	174999	464999	174999	Merge	Matrix 1	-2.2710702893855497	FALSE	FALSE	FALSE	FALSE
loop_12019	up_in_mutant	0.564036909492803	0.0080305936373873	Other	Poised_Enhancer	224999	534999	224999	Split	Matrix 2	2.8871736356880753	FALSE	FALSE	FALSE	FALSE
loop_12880	up_in_mutant	0.399036967127201	0.0152296050443023	Other	Other	294999	314999	294999	Shifted	Matrix 1	-2.3320949212272457	FALSE	FALSE	FALSE	FALSE
loop_19513	down_in_mutant	-0.347891210837679	0.0139417069502811	Repressed_Promoter	Repressed_Promoter	209999	94999	94999	Split	Matrix 2	2.438529894089372	FALSE	FALSE	FALSE	TRUE
loop_13109	down_in_mutant	-0.433887422733374	0.0072549435388523	Repressed_Promoter	Other	209999	569999	209999	Complex	Matrix 1	-4.066608206893365	FALSE	FALSE	FALSE	FALSE
loop_18042	down_in_mutant	-0.396711155978786	0.0130435399402478	Polycomb	Repressed_Promoter	614999	339999	339999	Merge	Matrix 1	-2.0976468790114473	FALSE	FALSE	FALSE	FALSE
loop_14438	down_in_mutant	-0.449344269369866	0.0269274413761963	Repressed_Promoter	Polycomb	284999	34999	34999	Split	Matrix 2	2.4324976612410154	FALSE	FALSE	TRUE	TRUE
loop_15566	down_in_mutant	-0.510023682308334	0.0265860782333663	Active_Enhancer	Active_Promoter	244999	74999	74999	Shifted	Matrix 2	2.771793079622308	FALSE	FALSE	FALSE	TRUE
