15	9	E	-2822793.3549298877	81
emissionprobs	4	5	H3K4me1	0	1.2622622561504706E-7
emissionprobs	4	5	H3K4me1	1	0.9999998737737743
emissionprobs	4	6	H3K4me3	0	0.9578254666818887
emissionprobs	4	6	H3K4me3	1	0.04217453331811118
emissionprobs	4	7	H3K9ac	0	0.7275163956964622
emissionprobs	4	7	H3K9ac	1	0.27248360430353774
emissionprobs	4	8	H3K9me3	0	0.9984521188973557
emissionprobs	4	8	H3K9me3	1	0.001547881102644227
emissionprobs	5	0	ATAC	0	1.0
emissionprobs	5	0	ATAC	1	4.52006325733227E-28
emissionprobs	5	1	CTCF	0	0.9949967741562684
emissionprobs	5	1	CTCF	1	0.005003225843731642
emissionprobs	5	2	H2AK119ub	0	1.0
emissionprobs	5	2	H2AK119ub	1	2.2784799822369752E-100
emissionprobs	5	3	H3K27ac	0	1.0
emissionprobs	5	3	H3K27ac	1	6.957457424663773E-128
emissionprobs	5	4	H3K27me3	0	1.0
emissionprobs	5	4	H3K27me3	1	1.2458185250723694E-85
emissionprobs	5	5	H3K4me1	0	9.87253753488709E-38
emissionprobs	5	5	H3K4me1	1	1.0
emissionprobs	5	6	H3K4me3	0	0.9999999999768387
emissionprobs	5	6	H3K4me3	1	2.3161243302436668E-11
emissionprobs	5	7	H3K9ac	0	1.0
emissionprobs	5	7	H3K9ac	1	3.0339200690575147E-123
emissionprobs	5	8	H3K9me3	0	1.0
emissionprobs	5	8	H3K9me3	1	7.023589771857743E-131
emissionprobs	6	0	ATAC	0	0.8475242431271076
emissionprobs	6	0	ATAC	1	0.15247575687289244
emissionprobs	6	1	CTCF	0	0.9645629792742357
emissionprobs	6	1	CTCF	1	0.03543702072576429
emissionprobs	6	2	H2AK119ub	0	0.9972597528083132
emissionprobs	6	2	H2AK119ub	1	0.00274024719168683
emissionprobs	6	3	H3K27ac	0	1.0
emissionprobs	6	3	H3K27ac	1	1.7279363475661298E-94
emissionprobs	6	4	H3K27me3	0	0.9806479341345424
emissionprobs	6	4	H3K27me3	1	0.019352065865457478
emissionprobs	6	5	H3K4me1	0	8.811928617847596E-37
emissionprobs	6	5	H3K4me1	1	1.0
emissionprobs	6	6	H3K4me3	0	0.7431439972228518
emissionprobs	6	6	H3K4me3	1	0.2568560027771481
emissionprobs	6	7	H3K9ac	0	0.08105357075304058
emissionprobs	6	7	H3K9ac	1	0.9189464292469594
emissionprobs	6	8	H3K9me3	0	0.9967331214470299
emissionprobs	6	8	H3K9me3	1	0.0032668785529701176
emissionprobs	7	0	ATAC	0	0.754366944487455
emissionprobs	7	0	ATAC	1	0.245633055512545
emissionprobs	7	1	CTCF	0	0.9630186021691787
emissionprobs	7	1	CTCF	1	0.03698139783082135
emissionprobs	7	2	H2AK119ub	0	0.6156947171937085
emissionprobs	7	2	H2AK119ub	1	0.38430528280629145
emissionprobs	7	3	H3K27ac	0	1.7463754169682784E-5
emissionprobs	7	3	H3K27ac	1	0.9999825362458303
emissionprobs	7	4	H3K27me3	0	0.9802660174230169
emissionprobs	7	4	H3K27me3	1	0.019733982576983135
emissionprobs	7	5	H3K4me1	0	1.7070174762733477E-15
emissionprobs	7	5	H3K4me1	1	0.9999999999999982
emissionprobs	7	6	H3K4me3	0	0.6216672902173601
emissionprobs	7	6	H3K4me3	1	0.3783327097826398
emissionprobs	7	7	H3K9ac	0	0.008181389485486829
emissionprobs	7	7	H3K9ac	1	0.9918186105145131
emissionprobs	7	8	H3K9me3	0	0.9984420847010984
emissionprobs	7	8	H3K9me3	1	0.0015579152989015326
emissionprobs	8	0	ATAC	0	0.8172908440926016
emissionprobs	8	0	ATAC	1	0.18270915590739847
emissionprobs	8	1	CTCF	0	0.9776680949818031
emissionprobs	8	1	CTCF	1	0.022331905018196894
emissionprobs	8	2	H2AK119ub	0	0.8451158336475799
emissionprobs	8	2	H2AK119ub	1	0.15488416635242008
emissionprobs	8	3	H3K27ac	0	0.003706010220998878
emissionprobs	8	3	H3K27ac	1	0.9962939897790011
emissionprobs	8	4	H3K27me3	0	0.9957794475361434
emissionprobs	8	4	H3K27me3	1	0.004220552463856542
emissionprobs	8	5	H3K4me1	0	0.3410633133450808
emissionprobs	8	5	H3K4me1	1	0.6589366866549192
emissionprobs	8	6	H3K4me3	0	0.9818287994561515
emissionprobs	8	6	H3K4me3	1	0.01817120054384849
emissionprobs	8	7	H3K9ac	0	1.0
emissionprobs	8	7	H3K9ac	1	5.218370491590519E-59
emissionprobs	8	8	H3K9me3	0	0.9949618717287899
emissionprobs	8	8	H3K9me3	1	0.005038128271210064
emissionprobs	9	0	ATAC	0	0.6583182361072092
emissionprobs	9	0	ATAC	1	0.3416817638927908
emissionprobs	9	1	CTCF	0	0.9582114931718845
emissionprobs	9	1	CTCF	1	0.04178850682811557
emissionprobs	9	2	H2AK119ub	0	0.7364980840183295
emissionprobs	9	2	H2AK119ub	1	0.26350191598167055
