TOTAL_READS	EXPECTED_DISTINCT	LOWER_0.95CI	UPPER_0.95CI
6734000000.0	5583751983.1	4162803807.4	6523892213.5
6735000000.0	5584449419.2	4163190165.6	6524845324.9
6736000000.0	5585146822.4	4163576480.7	6525798431.8
6737000000.0	5585844192.7	4163962753.0	6526751534.2
6738000000.0	5586541530.1	4164348982.2	6527704632.0
6739000000.0	5587238834.6	4164735168.6	6528657725.2
6740000000.0	5587936106.2	4165121312.0	6529610813.8
6741000000.0	5588633344.9	4165507412.5	6530563897.9
6742000000.0	5589330550.8	4165893470.0	6531516977.5
6743000000.0	5590027723.8	4166279484.7	6532470052.5
6744000000.0	5590724863.9	4166665456.4	6533423122.9
6745000000.0	5591421971.1	4167051385.3	6534376188.8
6746000000.0	5592119045.5	4167437271.2	6535329250.1
6747000000.0	5592816086.9	4167823114.3	6536282306.8
6748000000.0	5593513095.6	4168208914.5	6537235359.0
6749000000.0	5594210071.3	4168594671.8	6538188406.7
6750000000.0	5594907014.2	4168980386.3	6539141449.8
6751000000.0	5595603924.2	4169366057.9	6540094488.3
6752000000.0	5596300801.4	4169751686.7	6541047522.3
6753000000.0	5596997645.7	4170137272.6	6542000551.7
6754000000.0	5597694457.1	4170522815.7	6542953576.5
6755000000.0	5598391235.7	4170908316.0	6543906596.8
6756000000.0	5599087981.5	4171293773.5	6544859612.5
6757000000.0	5599784694.4	4171679188.1	6545812623.7
6758000000.0	5600481374.5	4172064559.9	6546765630.3
6759000000.0	5601178021.7	4172449889.0	6547718632.4
6760000000.0	5601874636.1	4172835175.2	6548671629.9
6761000000.0	5602571217.6	4173220418.7	6549624622.8
6762000000.0	5603267766.3	4173605619.4	6550577611.2
6763000000.0	5603964282.2	4173990777.4	6551530595.1
6764000000.0	5604660765.2	4174375892.5	6552483574.3
6765000000.0	5605357215.5	4174760964.9	6553436549.1
6766000000.0	5606053632.8	4175145994.6	6554389519.2
6767000000.0	5606750017.4	4175530981.6	6555342484.8
6768000000.0	5607446369.1	4175915925.8	6556295445.9
6769000000.0	5608142688.1	4176300827.2	6557248402.4
6770000000.0	5608838974.2	4176685686.0	6558201354.3
6771000000.0	5609535227.5	4177070502.0	6559154301.7
6772000000.0	5610231448.0	4177455275.4	6560107244.5
6773000000.0	5610927635.6	4177840006.0	6561060182.7
6774000000.0	5611623790.5	4178224694.0	6562013116.4
6775000000.0	5612319912.5	4178609339.3	6562966045.6
6776000000.0	5613016001.8	4178993941.9	6563918970.2
6777000000.0	5613712058.3	4179378501.8	6564871890.2
6778000000.0	5614408081.9	4179763019.1	6565824805.7
6779000000.0	5615104072.8	4180147493.7	6566777716.6
6780000000.0	5615800030.8	4180531925.6	6567730623.0
6781000000.0	5616495956.1	4180916315.0	6568683524.8
6782000000.0	5617191848.6	4181300661.7	6569636422.0
6783000000.0	5617887708.3	4181684965.7	6570589314.7
6784000000.0	5618583535.2	4182069227.2	6571542202.8
6785000000.0	5619279329.4	4182453446.0	6572495086.4
6786000000.0	5619975090.7	4182837622.3	6573447965.4
6787000000.0	5620670819.3	4183221755.9	6574400839.9
6788000000.0	5621366515.1	4183605847.0	6575353709.8
6789000000.0	5622062178.1	4183989895.4	6576306575.1
6790000000.0	5622757808.4	4184373901.3	6577259435.9
6791000000.0	5623453405.9	4184757864.7	6578212292.2
6792000000.0	5624148970.6	4185141785.4	6579165143.9
6793000000.0	5624844502.5	4185525663.6	6580117991.0
6794000000.0	5625540001.7	4185909499.3	6581070833.5
6795000000.0	5626235468.2	4186293292.4	6582023671.6
6796000000.0	5626930901.9	4186677043.0	6582976505.0
6797000000.0	5627626302.8	4187060751.1	6583929333.9
6798000000.0	5628321671.0	4187444416.6	6584882158.3
6799000000.0	5629017006.4	4187828039.6	6585834978.0
