TOTAL_READS	EXPECTED_DISTINCT	LOWER_0.95CI	UPPER_0.95CI
8549000000.0	6560454971.9	4530685092.9	8279607551.3
8550000000.0	6561049274.8	4530967386.6	8280558327.7
8551000000.0	6561643546.5	4531249649.5	8281509100.1
8552000000.0	6562237786.8	4531531881.5	8282459868.4
8553000000.0	6562831995.7	4531814082.7	8283410632.6
8554000000.0	6563426173.3	4532096253.0	8284361392.9
8555000000.0	6564020319.5	4532378392.5	8285312149.0
8556000000.0	6564614434.4	4532660501.2	8286262901.1
8557000000.0	6565208518.0	4532942579.1	8287213649.2
8558000000.0	6565802570.2	4533224626.1	8288164393.2
8559000000.0	6566396591.1	4533506642.3	8289115133.2
8560000000.0	6566990580.7	4533788627.8	8290065869.1
8561000000.0	6567584539.0	4534070582.4	8291016601.0
8562000000.0	6568178465.9	4534352506.3	8291967328.8
8563000000.0	6568772361.5	4534634399.3	8292918052.6
8564000000.0	6569366225.8	4534916261.6	8293868772.3
8565000000.0	6569960058.7	4535198093.0	8294819487.9
8566000000.0	6570553860.4	4535479893.8	8295770199.5
8567000000.0	6571147630.7	4535761663.7	8296720907.1
8568000000.0	6571741369.7	4536043402.9	8297671610.6
8569000000.0	6572335077.4	4536325111.3	8298622310.1
8570000000.0	6572928753.9	4536606788.9	8299573005.5
8571000000.0	6573522399.0	4536888435.9	8300523696.9
8572000000.0	6574116012.8	4537170052.0	8301474384.2
8573000000.0	6574709595.3	4537451637.4	8302425067.4
8574000000.0	6575303146.5	4537733192.1	8303375746.6
8575000000.0	6575896666.4	4538014716.1	8304326421.8
8576000000.0	6576490155.1	4538296209.3	8305277092.9
8577000000.0	6577083612.4	4538577671.9	8306227760.0
8578000000.0	6577677038.5	4538859103.7	8307178423.0
8579000000.0	6578270433.2	4539140504.8	8308129081.9
8580000000.0	6578863796.7	4539421875.2	8309079736.9
8581000000.0	6579457129.0	4539703214.8	8310030387.7
8582000000.0	6580050429.9	4539984523.8	8310981034.5
8583000000.0	6580643699.6	4540265802.2	8311931677.3
8584000000.0	6581236938.0	4540547049.8	8312882316.0
8585000000.0	6581830145.1	4540828266.7	8313832950.7
8586000000.0	6582423321.0	4541109453.0	8314783581.3
8587000000.0	6583016465.6	4541390608.6	8315734207.8
8588000000.0	6583609578.9	4541671733.5	8316684830.3
8589000000.0	6584202661.0	4541952827.8	8317635448.8
8590000000.0	6584795711.9	4542233891.4	8318586063.2
8591000000.0	6585388731.4	4542514924.4	8319536673.6
8592000000.0	6585981719.8	4542795926.7	8320487279.9
8593000000.0	6586574676.9	4543076898.4	8321437882.2
8594000000.0	6587167602.7	4543357839.5	8322388480.4
8595000000.0	6587760497.3	4543638749.9	8323339074.5
8596000000.0	6588353360.6	4543919629.7	8324289664.6
8597000000.0	6588946192.7	4544200478.9	8325240250.7
8598000000.0	6589538993.6	4544481297.5	8326190832.7
8599000000.0	6590131763.3	4544762085.5	8327141410.7
8600000000.0	6590724501.7	4545042842.8	8328091984.6
8601000000.0	6591317208.9	4545323569.6	8329042554.5
8602000000.0	6591909884.8	4545604265.7	8329993120.3
8603000000.0	6592502529.6	4545884931.3	8330943682.1
8604000000.0	6593095143.1	4546165566.3	8331894239.8
8605000000.0	6593687725.4	4546446170.7	8332844793.4
8606000000.0	6594280276.5	4546726744.6	8333795343.1
8607000000.0	6594872796.3	4547007287.8	8334745888.6
8608000000.0	6595465285.0	4547287800.6	8335696430.2
8609000000.0	6596057742.4	4547568282.7	8336646967.6
8610000000.0	6596650168.7	4547848734.3	8337597501.1
8611000000.0	6597242563.7	4548129155.3	8338548030.4
8612000000.0	6597834927.5	4548409545.9	8339498555.8
8613000000.0	6598427260.2	4548689905.8	8340449077.0
8614000000.0	6599019561.6	4548970235.2	8341399594.3
8615000000.0	6599611831.9	4549250534.1	8342350107.4
8616000000.0	6600204070.9	4549530802.5	8343300616.6
8617000000.0	6600796278.8	4549811040.4	8344251121.6
8618000000.0	6601388455.5	4550091247.7	8345201622.7
8619000000.0	6601980601.0	4550371424.6	8346152119.7
8620000000.0	6602572715.3	4550651570.9	8347102612.6
8621000000.0	6603164798.4	4550931686.7	8348053101.5
8622000000.0	6603756850.4	4551211772.1	8349003586.3
8623000000.0	6604348871.2	4551491826.9	8349954067.1
8624000000.0	6604940860.8	4551771851.3	8350904543.8
8625000000.0	6605532819.2	4552051845.2	8351855016.5
8626000000.0	6606124746.5	4552331808.6	8352805485.2
8627000000.0	6606716642.6	4552611741.5	8353755949.7
8628000000.0	6607308507.6	4552891644.0	8354706410.3
8629000000.0	6607900341.4	4553171516.0	8355656866.8
8630000000.0	6608492144.0	4553451357.6	8356607319.2
8631000000.0	6609083915.5	4553731168.7	8357557767.6
8632000000.0	6609675655.8	4554010949.4	8358508212.0
8633000000.0	6610267365.0	4554290699.6	8359458652.3
8634000000.0	6610859043.0	4554570419.4	8360409088.5
8635000000.0	6611450689.9	4554850108.7	8361359520.7
8636000000.0	6612042305.7	4555129767.7	8362309948.9
8637000000.0	6612633890.3	4555409396.2	8363260373.0
8638000000.0	6613225443.7	4555688994.3	8364210793.0
8639000000.0	6613816966.1	4555968562.0	8365161209.0
8640000000.0	6614408457.3	4556248099.3	8366111621.0
8641000000.0	6614999917.3	4556527606.2	8367062028.9
8642000000.0	6615591346.3	4556807082.7	8368012432.8
8643000000.0	6616182744.1	4557086528.8	8368962832.6
8644000000.0	6616774110.8	4557365944.5	8369913228.3
8645000000.0	6617365446.4	4557645329.9	8370863620.1
8646000000.0	6617956750.8	4557924684.9	8371814007.7
8647000000.0	6618548024.2	4558204009.5	8372764391.4
8648000000.0	6619139266.4	4558483303.7	8373714770.9
8649000000.0	6619730477.5	4558762567.6	8374665146.5
8650000000.0	6620321657.6	4559041801.1	8375615517.9
8651000000.0	6620912806.5	4559321004.3	8376565885.4
8652000000.0	6621503924.3	4559600177.1	8377516248.7
8653000000.0	6622095011.0	4559879319.6	8378466608.1
8654000000.0	6622686066.6	4560158431.7	8379416963.4
8655000000.0	6623277091.1	4560437513.5	8380367314.6
8656000000.0	6623868084.5	4560716565.0	8381317661.8
8657000000.0	6624459046.9	4560995586.2	8382268004.9
8658000000.0	6625049978.1	4561274577.1	8383218344.0
8659000000.0	6625640878.2	4561553537.6	8384168679.1
8660000000.0	6626231747.3	4561832467.9	8385119010.1
8661000000.0	6626822585.3	4562111367.8	8386069337.0
8662000000.0	6627413392.2	4562390237.5	8387019659.9
8663000000.0	6628004168.1	4562669076.8	8387969978.8
8664000000.0	6628594912.8	4562947885.9	8388920293.6
8665000000.0	6629185626.5	4563226664.7	8389870604.3
8666000000.0	6629776309.1	4563505413.2	8390820911.0
8667000000.0	6630366960.7	4563784131.4	8391771213.7
8668000000.0	6630957581.2	4564062819.4	8392721512.3
8669000000.0	6631548170.6	4564341477.1	8393671806.9
8670000000.0	6632138729.0	4564620104.6	8394622097.4
8671000000.0	6632729256.3	4564898701.8	8395572383.9
8672000000.0	6633319752.6	4565177268.7	8396522666.3
8673000000.0	6633910217.8	4565455805.5	8397472944.7
8674000000.0	6634500652.0	4565734311.9	8398423219.0
8675000000.0	6635091055.1	4566012788.2	8399373489.3
8676000000.0	6635681427.2	4566291234.2	8400323755.5
8677000000.0	6636271768.2	4566569650.0	8401274017.7
8678000000.0	6636862078.2	4566848035.6	8402224275.8
8679000000.0	6637452357.2	4567126391.0	8403174529.9
8680000000.0	6638042605.1	4567404716.1	8404124780.0
8681000000.0	6638632822.0	4567683011.1	8405075026.0
8682000000.0	6639223007.8	4567961275.9	8406025267.9
8683000000.0	6639813162.7	4568239510.4	8406975505.8
8684000000.0	6640403286.5	4568517714.8	8407925739.7
8685000000.0	6640993379.3	4568795889.0	8408875969.5
8686000000.0	6641583441.1	4569074033.1	8409826195.2
8687000000.0	6642173471.8	4569352146.9	8410776417.0
8688000000.0	6642763471.5	4569630230.6	8411726634.6
8689000000.0	6643353440.3	4569908284.1	8412676848.2
8690000000.0	6643943378.0	4570186307.5	8413627057.8
8691000000.0	6644533284.7	4570464300.7	8414577263.3
8692000000.0	6645123160.4	4570742263.8	8415527464.8
8693000000.0	6645713005.1	4571020196.7	8416477662.3
8694000000.0	6646302818.8	4571298099.5	8417427855.6
8695000000.0	6646892601.5	4571575972.1	8418378045.0
8696000000.0	6647482353.2	4571853814.7	8419328230.3
8697000000.0	6648072073.9	4572131627.1	8420278411.5
8698000000.0	6648661763.7	4572409409.3	8421228588.7
