loop_id	shift_detected	ctrl_peak_row	ctrl_peak_col	mut_peak_row	mut_peak_col	ctrl_centered	mut_centered
loop_471	FALSE	5	1	5	1	FALSE	FALSE
loop_472	FALSE	3	1	3	1	FALSE	FALSE
loop_473	FALSE	5	1	5	1	FALSE	FALSE
loop_474	TRUE	3	3	3	2	TRUE	FALSE
loop_475	FALSE	3	2	3	2	FALSE	FALSE
loop_476	TRUE	3	1	4	1	FALSE	FALSE
loop_477	FALSE	4	3	4	3	FALSE	FALSE
loop_478	TRUE	3	3	3	2	TRUE	FALSE
loop_479	FALSE	3	3	3	3	TRUE	TRUE
loop_480	FALSE	3	2	3	2	FALSE	FALSE
loop_481	FALSE	3	3	3	3	TRUE	TRUE
loop_482	FALSE	3	3	3	3	TRUE	TRUE
loop_483	TRUE	3	3	3	1	TRUE	FALSE
loop_484	TRUE	4	2	3	2	FALSE	FALSE
loop_485	FALSE	5	1	5	1	FALSE	FALSE
loop_486	FALSE	3	3	3	3	TRUE	TRUE
loop_487	TRUE	3	3	4	3	TRUE	FALSE
loop_488	FALSE	5	1	5	1	FALSE	FALSE
loop_489	FALSE	5	1	5	1	FALSE	FALSE
loop_490	FALSE	4	3	4	3	FALSE	FALSE
loop_491	TRUE	3	4	1	4	FALSE	FALSE
